name,color
Orlando,"d3.hsl(0, 1, .5)"
Adam,"d3.hsl(13.3333333333, 1, .5)"
Oliver,"d3.hsl(26.6666666667, 1, .5)"
Dennis,"d3.hsl(40.0, 1, .5)"
Charles,"d3.hsl(53.3333333333, 1, .5)"
Celia,"d3.hsl(66.6666666667, 1, .5)"
Rosalind,"d3.hsl(80.0, 1, .5)"
Touchstone,"d3.hsl(93.3333333333, 1, .5)"
Le beau,"d3.hsl(106.666666667, 1, .5)"
Duke frederick,"d3.hsl(120.0, 1, .5)"
Duke senior,"d3.hsl(133.333333333, 1, .5)"
Amiens,"d3.hsl(146.666666667, 1, .5)"
First lord,"d3.hsl(160.0, 1, .5)"
Second lord,"d3.hsl(173.333333333, 1, .5)"
Corin,"d3.hsl(186.666666667, 1, .5)"
Silvius,"d3.hsl(200.0, 1, .5)"
Jaques,"d3.hsl(213.333333333, 1, .5)"
Audrey,"d3.hsl(226.666666667, 1, .5)"
Sir oliver martext,"d3.hsl(240.0, 1, .5)"
Phebe,"d3.hsl(253.333333333, 1, .5)"
A lord,"d3.hsl(266.666666667, 1, .5)"
Forester,"d3.hsl(280.0, 1, .5)"
William,"d3.hsl(293.333333333, 1, .5)"
First page,"d3.hsl(306.666666667, 1, .5)"
Second page,"d3.hsl(320.0, 1, .5)"
Hymen,"d3.hsl(333.333333333, 1, .5)"
Jaques de boys,"d3.hsl(346.666666667, 1, .5)"
name,color
Orlando,"d3.hsl(0, 1, .5)"
Adam,"d3.hsl(13.3333333333, 1, .5)"
Oliver,"d3.hsl(26.6666666667, 1, .5)"
Dennis,"d3.hsl(40.0, 1, .5)"
Charles,"d3.hsl(53.3333333333, 1, .5)"
Celia,"d3.hsl(66.6666666667, 1, .5)"
Rosalind,"d3.hsl(80.0, 1, .5)"
Touchstone,"d3.hsl(93.3333333333, 1, .5)"
Le beau,"d3.hsl(106.666666667, 1, .5)"
Duke frederick,"d3.hsl(120.0, 1, .5)"
Duke senior,"d3.hsl(133.333333333, 1, .5)"
Amiens,"d3.hsl(146.666666667, 1, .5)"
First lord,"d3.hsl(160.0, 1, .5)"
Second lord,"d3.hsl(173.333333333, 1, .5)"
Corin,"d3.hsl(186.666666667, 1, .5)"
Silvius,"d3.hsl(200.0, 1, .5)"
Jaques,"d3.hsl(213.333333333, 1, .5)"
Audrey,"d3.hsl(226.666666667, 1, .5)"
Sir oliver martext,"d3.hsl(240.0, 1, .5)"
Phebe,"d3.hsl(253.333333333, 1, .5)"
A lord,"d3.hsl(266.666666667, 1, .5)"
Forester,"d3.hsl(280.0, 1, .5)"
William,"d3.hsl(293.333333333, 1, .5)"
First page,"d3.hsl(306.666666667, 1, .5)"
Second page,"d3.hsl(320.0, 1, .5)"
Hymen,"d3.hsl(333.333333333, 1, .5)"
Jaques de boys,"d3.hsl(346.666666667, 1, .5)"
name,color
Orlando,"d3.hsl(0, 1, .5)"
Adam,"d3.hsl(13.3333333333, 1, .5)"
Oliver,"d3.hsl(26.6666666667, 1, .5)"
Dennis,"d3.hsl(40.0, 1, .5)"
Charles,"d3.hsl(53.3333333333, 1, .5)"
Celia,"d3.hsl(66.6666666667, 1, .5)"
Rosalind,"d3.hsl(80.0, 1, .5)"
Touchstone,"d3.hsl(93.3333333333, 1, .5)"
Le beau,"d3.hsl(106.666666667, 1, .5)"
Duke frederick,"d3.hsl(120.0, 1, .5)"
Duke senior,"d3.hsl(133.333333333, 1, .5)"
Amiens,"d3.hsl(146.666666667, 1, .5)"
First lord,"d3.hsl(160.0, 1, .5)"
Second lord,"d3.hsl(173.333333333, 1, .5)"
Corin,"d3.hsl(186.666666667, 1, .5)"
Silvius,"d3.hsl(200.0, 1, .5)"
Jaques,"d3.hsl(213.333333333, 1, .5)"
Audrey,"d3.hsl(226.666666667, 1, .5)"
Sir oliver martext,"d3.hsl(240.0, 1, .5)"
Phebe,"d3.hsl(253.333333333, 1, .5)"
A lord,"d3.hsl(266.666666667, 1, .5)"
Forester,"d3.hsl(280.0, 1, .5)"
William,"d3.hsl(293.333333333, 1, .5)"
First page,"d3.hsl(306.666666667, 1, .5)"
Second page,"d3.hsl(320.0, 1, .5)"
Hymen,"d3.hsl(333.333333333, 1, .5)"
Jaques de boys,"d3.hsl(346.666666667, 1, .5)"
name,color
Orlando,"d3.hsl(0, 1, .5)"
