name,color
Ferdinand,"d3.hsl(0, 1, .5)"
Longaville,"d3.hsl(18.9473684211, 1, .5)"
Dumain,"d3.hsl(37.8947368421, 1, .5)"
Biron,"d3.hsl(56.8421052632, 1, .5)"
Dull,"d3.hsl(75.7894736842, 1, .5)"
Costard,"d3.hsl(94.7368421053, 1, .5)"
Don adriano de armado,"d3.hsl(113.684210526, 1, .5)"
Moth,"d3.hsl(132.631578947, 1, .5)"
Jaquenetta,"d3.hsl(151.578947368, 1, .5)"
Boyet,"d3.hsl(170.526315789, 1, .5)"
Princess,"d3.hsl(189.473684211, 1, .5)"
First lord,"d3.hsl(208.421052632, 1, .5)"
Maria,"d3.hsl(227.368421053, 1, .5)"
Katharine,"d3.hsl(246.315789474, 1, .5)"
Rosaline,"d3.hsl(265.263157895, 1, .5)"
Forester,"d3.hsl(284.210526316, 1, .5)"
Sir nathaniel,"d3.hsl(303.157894737, 1, .5)"
Holofernes,"d3.hsl(322.105263158, 1, .5)"
Mercade,"d3.hsl(341.052631579, 1, .5)"
name,color
Ferdinand,"d3.hsl(0, 1, .5)"
Longaville,"d3.hsl(18.9473684211, 1, .5)"
Dumain,"d3.hsl(37.8947368421, 1, .5)"
Biron,"d3.hsl(56.8421052632, 1, .5)"
Dull,"d3.hsl(75.7894736842, 1, .5)"
Costard,"d3.hsl(94.7368421053, 1, .5)"
Don adriano de armado,"d3.hsl(113.684210526, 1, .5)"
Moth,"d3.hsl(132.631578947, 1, .5)"
Jaquenetta,"d3.hsl(151.578947368, 1, .5)"
Boyet,"d3.hsl(170.526315789, 1, .5)"
Princess,"d3.hsl(189.473684211, 1, .5)"
First lord,"d3.hsl(208.421052632, 1, .5)"
Maria,"d3.hsl(227.368421053, 1, .5)"
Katharine,"d3.hsl(246.315789474, 1, .5)"
Rosaline,"d3.hsl(265.263157895, 1, .5)"
Forester,"d3.hsl(284.210526316, 1, .5)"
Sir nathaniel,"d3.hsl(303.157894737, 1, .5)"
Holofernes,"d3.hsl(322.105263158, 1, .5)"
Mercade,"d3.hsl(341.052631579, 1, .5)"
name,color
Ferdinand,"d3.hsl(0, 1, .5)"
Longaville,"d3.hsl(18.9473684211, 1, .5)"
Dumain,"d3.hsl(37.8947368421, 1, .5)"
Biron,"d3.hsl(56.8421052632, 1, .5)"
Dull,"d3.hsl(75.7894736842, 1, .5)"
Costard,"d3.hsl(94.7368421053, 1, .5)"
Don adriano de armado,"d3.hsl(113.684210526, 1, .5)"
Moth,"d3.hsl(132.631578947, 1, .5)"
Jaquenetta,"d3.hsl(151.578947368, 1, .5)"
Boyet,"d3.hsl(170.526315789, 1, .5)"
Princess,"d3.hsl(189.473684211, 1, .5)"
First lord,"d3.hsl(208.421052632, 1, .5)"
Maria,"d3.hsl(227.368421053, 1, .5)"
Katharine,"d3.hsl(246.315789474, 1, .5)"
Rosaline,"d3.hsl(265.263157895, 1, .5)"
Forester,"d3.hsl(284.210526316, 1, .5)"
Sir nathaniel,"d3.hsl(303.157894737, 1, .5)"
Holofernes,"d3.hsl(322.105263158, 1, .5)"
Mercade,"d3.hsl(341.052631579, 1, .5)"
name,color
Ferdinand,"d3.hsl(0, 1, .5)"
Longaville,"d3.hsl(18.9473684211, 1, .5)"
Dumain,"d3.hsl(37.8947368421, 1, .5)"
Biron,"d3.hsl(56.8421052632, 1, .5)"
Dull,"d3.hsl(75.7894736842, 1, .5)"
Costard,"d3.hsl(94.7368421053, 1, .5)"
Don adriano de armado,"d3.hsl(113.684210526, 1, .5)"
Moth,"d3.hsl(132.631578947, 1, .5)"
Jaquenetta,"d3.hsl(151.578947368, 1, .5)"
Boyet,"d3.hsl(170.526315789, 1, .5)"
Princess,"d3.hsl(189.473684211, 1, .5)"
First lord,"d3.hsl(208.421052632, 1, .5)"
Maria,"d3.hsl(227.368421053, 1, .5)"
Katharine,"d3.hsl(246.315789474, 1, .5)"
Rosaline,"d3.hsl(265.263157895, 1, .5)"
Forester,"d3.hsl(284.210526316, 1, .5)"
Sir nathaniel,"d3.hsl(303.157894737, 1, .5)"
Holofernes,"d3.hsl(322.105263158, 1, .5)"
Mercade,"d3.hsl(341.052631579, 1, .5)"
