name,color
Antonio,"d3.hsl(0, 1, .5)"
Salarino,"d3.hsl(15.652173913, 1, .5)"
Salanio,"d3.hsl(31.3043478261, 1, .5)"
Bassanio,"d3.hsl(46.9565217391, 1, .5)"
Lorenzo,"d3.hsl(62.6086956522, 1, .5)"
Gratiano,"d3.hsl(78.2608695652, 1, .5)"
Portia,"d3.hsl(93.9130434783, 1, .5)"
Nerissa,"d3.hsl(109.565217391, 1, .5)"
Servant,"d3.hsl(125.217391304, 1, .5)"
Shylock,"d3.hsl(140.869565217, 1, .5)"
Morocco,"d3.hsl(156.52173913, 1, .5)"
Launcelot,"d3.hsl(172.173913043, 1, .5)"
Gobbo,"d3.hsl(187.826086957, 1, .5)"
Leonardo,"d3.hsl(203.47826087, 1, .5)"
Jessica,"d3.hsl(219.130434783, 1, .5)"
Arragon,"d3.hsl(234.782608696, 1, .5)"
Tubal,"d3.hsl(250.434782609, 1, .5)"
All,"d3.hsl(266.086956522, 1, .5)"
Salerio,"d3.hsl(281.739130435, 1, .5)"
Balthasar,"d3.hsl(297.391304348, 1, .5)"
Duke,"d3.hsl(313.043478261, 1, .5)"
Clerk,"d3.hsl(328.695652174, 1, .5)"
Stephano,"d3.hsl(344.347826087, 1, .5)"
