name,color
Archidamus,"d3.hsl(0, 1, .5)"
Camillo,"d3.hsl(10.2857142857, 1, .5)"
Polixenes,"d3.hsl(20.5714285714, 1, .5)"
Leontes,"d3.hsl(30.8571428571, 1, .5)"
Hermione,"d3.hsl(41.1428571429, 1, .5)"
Mamillius,"d3.hsl(51.4285714286, 1, .5)"
First lady,"d3.hsl(61.7142857143, 1, .5)"
Second lady,"d3.hsl(72.0, 1, .5)"
First lord,"d3.hsl(82.2857142857, 1, .5)"
Antigonus,"d3.hsl(92.5714285714, 1, .5)"
Paulina,"d3.hsl(102.857142857, 1, .5)"
Gaoler,"d3.hsl(113.142857143, 1, .5)"
Emilia,"d3.hsl(123.428571429, 1, .5)"
First servant,"d3.hsl(133.714285714, 1, .5)"
Second servant,"d3.hsl(144.0, 1, .5)"
Lords,"d3.hsl(154.285714286, 1, .5)"
Servant,"d3.hsl(164.571428571, 1, .5)"
Cleomenes,"d3.hsl(174.857142857, 1, .5)"
Dion,"d3.hsl(185.142857143, 1, .5)"
Officer,"d3.hsl(195.428571429, 1, .5)"
Mariner,"d3.hsl(205.714285714, 1, .5)"
Shepherd,"d3.hsl(216.0, 1, .5)"
Clown,"d3.hsl(226.285714286, 1, .5)"
Time,"d3.hsl(236.571428571, 1, .5)"
Autolycus,"d3.hsl(246.857142857, 1, .5)"
Florizel,"d3.hsl(257.142857143, 1, .5)"
Perdita,"d3.hsl(267.428571429, 1, .5)"
Dorcas,"d3.hsl(277.714285714, 1, .5)"
Mopsa,"d3.hsl(288.0, 1, .5)"
Shepard,"d3.hsl(298.285714286, 1, .5)"
Gentleman,"d3.hsl(308.571428571, 1, .5)"
Lord,"d3.hsl(318.857142857, 1, .5)"
First gentleman,"d3.hsl(329.142857143, 1, .5)"
Second gentleman,"d3.hsl(339.428571429, 1, .5)"
Third gentleman,"d3.hsl(349.714285714, 1, .5)"
