name,color
Bernardo,"d3.hsl(0, 1, .5)"
Francisco,"d3.hsl(10.2857142857, 1, .5)"
Horatio,"d3.hsl(20.5714285714, 1, .5)"
Marcellus,"d3.hsl(30.8571428571, 1, .5)"
King claudius,"d3.hsl(41.1428571429, 1, .5)"
Cornelius,"d3.hsl(51.4285714286, 1, .5)"
Voltimand,"d3.hsl(61.7142857143, 1, .5)"
Laertes,"d3.hsl(72.0, 1, .5)"
Lord polonius,"d3.hsl(82.2857142857, 1, .5)"
Hamlet,"d3.hsl(92.5714285714, 1, .5)"
Queen gertrude,"d3.hsl(102.857142857, 1, .5)"
All,"d3.hsl(113.142857143, 1, .5)"
Ophelia,"d3.hsl(123.428571429, 1, .5)"
Ghost,"d3.hsl(133.714285714, 1, .5)"
Reynaldo,"d3.hsl(144.0, 1, .5)"
Rosencrantz,"d3.hsl(154.285714286, 1, .5)"
Guildenstern,"d3.hsl(164.571428571, 1, .5)"
First player,"d3.hsl(174.857142857, 1, .5)"
Prologue,"d3.hsl(185.142857143, 1, .5)"
Player king,"d3.hsl(195.428571429, 1, .5)"
Player queen,"d3.hsl(205.714285714, 1, .5)"
Lucianus,"d3.hsl(216.0, 1, .5)"
Prince fortinbras,"d3.hsl(226.285714286, 1, .5)"
Captain,"d3.hsl(236.571428571, 1, .5)"
Gentleman,"d3.hsl(246.857142857, 1, .5)"
Danes,"d3.hsl(257.142857143, 1, .5)"
Servant,"d3.hsl(267.428571429, 1, .5)"
First sailor,"d3.hsl(277.714285714, 1, .5)"
Messenger,"d3.hsl(288.0, 1, .5)"
First clown,"d3.hsl(298.285714286, 1, .5)"
Second clown,"d3.hsl(308.571428571, 1, .5)"
First priest,"d3.hsl(318.857142857, 1, .5)"
Osric,"d3.hsl(329.142857143, 1, .5)"
Lord,"d3.hsl(339.428571429, 1, .5)"
First ambassador,"d3.hsl(349.714285714, 1, .5)"
name,color
Bernardo,"d3.hsl(0, 1, .5)"
Francisco,"d3.hsl(10.2857142857, 1, .5)"
Horatio,"d3.hsl(20.5714285714, 1, .5)"
Marcellus,"d3.hsl(30.8571428571, 1, .5)"
King claudius,"d3.hsl(41.1428571429, 1, .5)"
Cornelius,"d3.hsl(51.4285714286, 1, .5)"
Voltimand,"d3.hsl(61.7142857143, 1, .5)"
Laertes,"d3.hsl(72.0, 1, .5)"
Lord polonius,"d3.hsl(82.2857142857, 1, .5)"
Hamlet,"d3.hsl(92.5714285714, 1, .5)"
Queen gertrude,"d3.hsl(102.857142857, 1, .5)"
All,"d3.hsl(113.142857143, 1, .5)"
Ophelia,"d3.hsl(123.428571429, 1, .5)"
Ghost,"d3.hsl(133.714285714, 1, .5)"
Reynaldo,"d3.hsl(144.0, 1, .5)"
Rosencrantz,"d3.hsl(154.285714286, 1, .5)"
Guildenstern,"d3.hsl(164.571428571, 1, .5)"
First player,"d3.hsl(174.857142857, 1, .5)"
Prologue,"d3.hsl(185.142857143, 1, .5)"
Player king,"d3.hsl(195.428571429, 1, .5)"
Player queen,"d3.hsl(205.714285714, 1, .5)"
Lucianus,"d3.hsl(216.0, 1, .5)"
Prince fortinbras,"d3.hsl(226.285714286, 1, .5)"
Captain,"d3.hsl(236.571428571, 1, .5)"
Gentleman,"d3.hsl(246.857142857, 1, .5)"
Danes,"d3.hsl(257.142857143, 1, .5)"
Servant,"d3.hsl(267.428571429, 1, .5)"
First sailor,"d3.hsl(277.714285714, 1, .5)"
Messenger,"d3.hsl(288.0, 1, .5)"
First clown,"d3.hsl(298.285714286, 1, .5)"
Second clown,"d3.hsl(308.571428571, 1, .5)"
First priest,"d3.hsl(318.857142857, 1, .5)"
Osric,"d3.hsl(329.142857143, 1, .5)"
Lord,"d3.hsl(339.428571429, 1, .5)"
First ambassador,"d3.hsl(349.714285714, 1, .5)"
name,color
Bernardo,"d3.hsl(0, 1, .5)"
Francisco,"d3.hsl(10.2857142857, 1, .5)"
Horatio,"d3.hsl(20.5714285714, 1, .5)"
Marcellus,"d3.hsl(30.8571428571, 1, .5)"
King claudius,"d3.hsl(41.1428571429, 1, .5)"
Cornelius,"d3.hsl(51.4285714286, 1, .5)"
Voltimand,"d3.hsl(61.7142857143, 1, .5)"
Laertes,"d3.hsl(72.0, 1, .5)"
Lord polonius,"d3.hsl(82.2857142857, 1, .5)"
Hamlet,"d3.hsl(92.5714285714, 1, .5)"
Queen gertrude,"d3.hsl(102.857142857, 1, .5)"
All,"d3.hsl(113.142857143, 1, .5)"
Ophelia,"d3.hsl(123.428571429, 1, .5)"
Ghost,"d3.hsl(133.714285714, 1, .5)"
Reynaldo,"d3.hsl(144.0, 1, .5)"
Rosencrantz,"d3.hsl(154.285714286, 1, .5)"
Guildenstern,"d3.hsl(164.571428571, 1, .5)"
First player,"d3.hsl(174.857142857, 1, .5)"
Prologue,"d3.hsl(185.142857143, 1, .5)"
Player king,"d3.hsl(195.428571429, 1, .5)"
Player queen,"d3.hsl(205.714285714, 1, .5)"
Lucianus,"d3.hsl(216.0, 1, .5)"
Prince fortinbras,"d3.hsl(226.285714286, 1, .5)"
Captain,"d3.hsl(236.571428571, 1, .5)"
Gentleman,"d3.hsl(246.857142857, 1, .5)"
Danes,"d3.hsl(257.142857143, 1, .5)"
Servant,"d3.hsl(267.428571429, 1, .5)"
First sailor,"d3.hsl(277.714285714, 1, .5)"
Messenger,"d3.hsl(288.0, 1, .5)"
First clown,"d3.hsl(298.285714286, 1, .5)"
Second clown,"d3.hsl(308.571428571, 1, .5)"
First priest,"d3.hsl(318.857142857, 1, .5)"
Osric,"d3.hsl(329.142857143, 1, .5)"
Lord,"d3.hsl(339.428571429, 1, .5)"
First ambassador,"d3.hsl(349.714285714, 1, .5)"
name,color
Bernardo,"d3.hsl(0, 1, .5)"
Francisco,"d3.hsl(10.2857142857, 1, .5)"
Horatio,"d3.hsl(20.5714285714, 1, .5)"
Marcellus,"d3.hsl(30.8571428571, 1, .5)"
King claudius,"d3.hsl(41.1428571429, 1, .5)"
Cornelius,"d3.hsl(51.4285714286, 1, .5)"
Voltimand,"d3.hsl(61.7142857143, 1, .5)"
Laertes,"d3.hsl(72.0, 1, .5)"
Lord polonius,"d3.hsl(82.2857142857, 1, .5)"
Hamlet,"d3.hsl(92.5714285714, 1, .5)"
Queen gertrude,"d3.hsl(102.857142857, 1, .5)"
All,"d3.hsl(113.142857143, 1, .5)"
Ophelia,"d3.hsl(123.428571429, 1, .5)"
Ghost,"d3.hsl(133.714285714, 1, .5)"
Reynaldo,"d3.hsl(144.0, 1, .5)"
Rosencrantz,"d3.hsl(154.285714286, 1, .5)"
Guildenstern,"d3.hsl(164.571428571, 1, .5)"
First player,"d3.hsl(174.857142857, 1, .5)"
Prologue,"d3.hsl(185.142857143, 1, .5)"
Player king,"d3.hsl(195.428571429, 1, .5)"
Player queen,"d3.hsl(205.714285714, 1, .5)"
Lucianus,"d3.hsl(216.0, 1, .5)"
Prince fortinbras,"d3.hsl(226.285714286, 1, .5)"
Captain,"d3.hsl(236.571428571, 1, .5)"
Gentleman,"d3.hsl(246.857142857, 1, .5)"
Danes,"d3.hsl(257.142857143, 1, .5)"
Servant,"d3.hsl(267.428571429, 1, .5)"
First sailor,"d3.hsl(277.714285714, 1, .5)"
Messenger,"d3.hsl(288.0, 1, .5)"
First clown,"d3.hsl(298.285714286, 1, .5)"
Second clown,"d3.hsl(308.571428571, 1, .5)"
First priest,"d3.hsl(318.857142857, 1, .5)"
Osric,"d3.hsl(329.142857143, 1, .5)"
Lord,"d3.hsl(339.428571429, 1, .5)"
First ambassador,"d3.hsl(349.714285714, 1, .5)"
