name,color
First citizen,"d3.hsl(185, 1, 0.2)"
All,"d3.hsl(185, 1, 0.212096774194)"
Second citizen,"d3.hsl(185, 1, 0.224193548387)"
Menenius,"d3.hsl(185, 1, 0.236290322581)"
Marcius,"d3.hsl(185, 1, 0.248387096774)"
Messenger,"d3.hsl(185, 1, 0.260483870968)"
First senator,"d3.hsl(185, 1, 0.272580645161)"
Cominius,"d3.hsl(185, 1, 0.284677419355)"
Titus,"d3.hsl(185, 1, 0.296774193548)"
Sicinius,"d3.hsl(185, 1, 0.308870967742)"
Brutus,"d3.hsl(185, 1, 0.320967741935)"
Aufidius,"d3.hsl(185, 1, 0.333064516129)"
Second senator,"d3.hsl(185, 1, 0.345161290323)"
Volumnia,"d3.hsl(185, 1, 0.357258064516)"
Virgilia,"d3.hsl(185, 1, 0.36935483871)"
Gentlewoman,"d3.hsl(185, 1, 0.381451612903)"
Valeria,"d3.hsl(185, 1, 0.393548387097)"
Lartius,"d3.hsl(185, 1, 0.40564516129)"
First soldier,"d3.hsl(185, 1, 0.417741935484)"
Second soldier,"d3.hsl(185, 1, 0.429838709677)"
First roman,"d3.hsl(185, 1, 0.441935483871)"
Second roman,"d3.hsl(185, 1, 0.454032258065)"
Third roman,"d3.hsl(185, 1, 0.466129032258)"
Lieutenant,"d3.hsl(185, 1, 0.478225806452)"
Coriolanus,"d3.hsl(185, 1, 0.490322580645)"
Both,"d3.hsl(185, 1, 0.502419354839)"
Herald,"d3.hsl(185, 1, 0.514516129032)"
First officer,"d3.hsl(185, 1, 0.526612903226)"
Second officer,"d3.hsl(185, 1, 0.538709677419)"
Officer,"d3.hsl(185, 1, 0.550806451613)"
Senators,"d3.hsl(185, 1, 0.562903225806)"
Third citizen,"d3.hsl(185, 1, 0.575)"
Fourth citizen,"d3.hsl(185, 1, 0.587096774194)"
Fifth citizen,"d3.hsl(185, 1, 0.599193548387)"
Both citizens,"d3.hsl(185, 1, 0.611290322581)"
Sixth citizen,"d3.hsl(185, 1, 0.623387096774)"
Seventh citizen,"d3.hsl(185, 1, 0.635483870968)"
All citizens,"d3.hsl(185, 1, 0.647580645161)"
Citizens,"d3.hsl(185, 1, 0.659677419355)"
Senators,"d3.hsl(185, 1, 0.671774193548)"
Aedile,"d3.hsl(185, 1, 0.683870967742)"
A patrician,"d3.hsl(185, 1, 0.695967741935)"
Second patrician,"d3.hsl(185, 1, 0.708064516129)"
Both tribunes,"d3.hsl(185, 1, 0.720161290323)"
Roman,"d3.hsl(185, 1, 0.732258064516)"
Volsce,"d3.hsl(185, 1, 0.74435483871)"
Citizen,"d3.hsl(185, 1, 0.756451612903)"
First servingman,"d3.hsl(185, 1, 0.768548387097)"
Second servingman,"d3.hsl(185, 1, 0.78064516129)"
Third servingman,"d3.hsl(185, 1, 0.792741935484)"
Second messenger,"d3.hsl(185, 1, 0.804838709677)"
Young marcius,"d3.hsl(185, 1, 0.816935483871)"
First conspirator,"d3.hsl(185, 1, 0.829032258065)"
Second conspirator,"d3.hsl(185, 1, 0.841129032258)"
Third conspirator,"d3.hsl(185, 1, 0.853225806452)"
All the lords,"d3.hsl(185, 1, 0.865322580645)"
Lords,"d3.hsl(185, 1, 0.877419354839)"
First lord,"d3.hsl(185, 1, 0.889516129032)"
All conspirators,"d3.hsl(185, 1, 0.901612903226)"
All the people,"d3.hsl(185, 1, 0.913709677419)"
Second lord,"d3.hsl(185, 1, 0.925806451613)"
Third lord,"d3.hsl(185, 1, 0.937903225806)"
