name,color
Canterbury,"d3.hsl(185, 1, 0.2)"
Ely,"d3.hsl(185, 1, 0.216666666667)"
King henry v,"d3.hsl(185, 1, 0.233333333333)"
Exeter,"d3.hsl(185, 1, 0.25)"
Westmoreland,"d3.hsl(185, 1, 0.266666666667)"
First ambassador,"d3.hsl(185, 1, 0.283333333333)"
Bardolph,"d3.hsl(185, 1, 0.3)"
Nym,"d3.hsl(185, 1, 0.316666666667)"
Pistol,"d3.hsl(185, 1, 0.333333333333)"
Hostess,"d3.hsl(185, 1, 0.35)"
Boy,"d3.hsl(185, 1, 0.366666666667)"
Bedford,"d3.hsl(185, 1, 0.383333333333)"
Scroop,"d3.hsl(185, 1, 0.4)"
Cambridge,"d3.hsl(185, 1, 0.416666666667)"
Grey,"d3.hsl(185, 1, 0.433333333333)"
King of france,"d3.hsl(185, 1, 0.45)"
Dauphin,"d3.hsl(185, 1, 0.466666666667)"
Constable,"d3.hsl(185, 1, 0.483333333333)"
Messenger,"d3.hsl(185, 1, 0.5)"
Fluellen,"d3.hsl(185, 1, 0.516666666667)"
Gower,"d3.hsl(185, 1, 0.533333333333)"
Jamy,"d3.hsl(185, 1, 0.55)"
Macmorris,"d3.hsl(185, 1, 0.566666666667)"
Governor,"d3.hsl(185, 1, 0.583333333333)"
Katharine,"d3.hsl(185, 1, 0.6)"
Alice,"d3.hsl(185, 1, 0.616666666667)"
Bourbon,"d3.hsl(185, 1, 0.633333333333)"
Montjoy,"d3.hsl(185, 1, 0.65)"
Gloucester,"d3.hsl(185, 1, 0.666666666667)"
Orleans,"d3.hsl(185, 1, 0.683333333333)"
Rambures,"d3.hsl(185, 1, 0.7)"
Erpingham,"d3.hsl(185, 1, 0.716666666667)"
Court,"d3.hsl(185, 1, 0.733333333333)"
Bates,"d3.hsl(185, 1, 0.75)"
Williams,"d3.hsl(185, 1, 0.766666666667)"
Grandpre,"d3.hsl(185, 1, 0.783333333333)"
Salisbury,"d3.hsl(185, 1, 0.8)"
York,"d3.hsl(185, 1, 0.816666666667)"
French soldier,"d3.hsl(185, 1, 0.833333333333)"
Warwick,"d3.hsl(185, 1, 0.85)"
Herald,"d3.hsl(185, 1, 0.866666666667)"
Queen isabel,"d3.hsl(185, 1, 0.883333333333)"
Burgundy,"d3.hsl(185, 1, 0.9)"
French king,"d3.hsl(185, 1, 0.916666666667)"
All,"d3.hsl(185, 1, 0.933333333333)"
