name,color
Duke vincentio,"d3.hsl(185, 1, 0.2)"
Escalus,"d3.hsl(185, 1, 0.228846153846)"
Angelo,"d3.hsl(185, 1, 0.257692307692)"
Duke,"d3.hsl(185, 1, 0.286538461538)"
Lucio,"d3.hsl(185, 1, 0.315384615385)"
First gentleman,"d3.hsl(185, 1, 0.344230769231)"
Second gentleman,"d3.hsl(185, 1, 0.373076923077)"
Mistress overdone,"d3.hsl(185, 1, 0.401923076923)"
Pompey,"d3.hsl(185, 1, 0.430769230769)"
Claudio,"d3.hsl(185, 1, 0.459615384615)"
Provost,"d3.hsl(185, 1, 0.488461538462)"
Friar thomas,"d3.hsl(185, 1, 0.517307692308)"
Isabella,"d3.hsl(185, 1, 0.546153846154)"
Francisca,"d3.hsl(185, 1, 0.575)"
Elbow,"d3.hsl(185, 1, 0.603846153846)"
Froth,"d3.hsl(185, 1, 0.632692307692)"
Pomphey,"d3.hsl(185, 1, 0.661538461538)"
Justice,"d3.hsl(185, 1, 0.690384615385)"
Servant,"d3.hsl(185, 1, 0.719230769231)"
Juliet,"d3.hsl(185, 1, 0.748076923077)"
Boy,"d3.hsl(185, 1, 0.776923076923)"
Mariana,"d3.hsl(185, 1, 0.805769230769)"
Abhorson,"d3.hsl(185, 1, 0.834615384615)"
Messenger,"d3.hsl(185, 1, 0.863461538462)"
Barnardine,"d3.hsl(185, 1, 0.892307692308)"
Friar peter,"d3.hsl(185, 1, 0.921153846154)"
