name,color
Theseus,"d3.hsl(185, 1, 0.2)"
Hippolyta,"d3.hsl(185, 1, 0.225)"
Egeus,"d3.hsl(185, 1, 0.25)"
Hermia,"d3.hsl(185, 1, 0.275)"
Demetrius,"d3.hsl(185, 1, 0.3)"
Lysander,"d3.hsl(185, 1, 0.325)"
Helena,"d3.hsl(185, 1, 0.35)"
Quince,"d3.hsl(185, 1, 0.375)"
Bottom,"d3.hsl(185, 1, 0.4)"
Flute,"d3.hsl(185, 1, 0.425)"
Starveling,"d3.hsl(185, 1, 0.45)"
Snout,"d3.hsl(185, 1, 0.475)"
Snug,"d3.hsl(185, 1, 0.5)"
All,"d3.hsl(185, 1, 0.525)"
Puck,"d3.hsl(185, 1, 0.55)"
Fairy,"d3.hsl(185, 1, 0.575)"
Oberon,"d3.hsl(185, 1, 0.6)"
Titania,"d3.hsl(185, 1, 0.625)"
Peaseblossom,"d3.hsl(185, 1, 0.65)"
Cobweb,"d3.hsl(185, 1, 0.675)"
Moth,"d3.hsl(185, 1, 0.7)"
Mustardseed,"d3.hsl(185, 1, 0.725)"
Hernia,"d3.hsl(185, 1, 0.75)"
Philostrate,"d3.hsl(185, 1, 0.775)"
Prologue,"d3.hsl(185, 1, 0.8)"
Wall,"d3.hsl(185, 1, 0.825)"
Pyramus,"d3.hsl(185, 1, 0.85)"
Thisbe,"d3.hsl(185, 1, 0.875)"
Lion,"d3.hsl(185, 1, 0.9)"
Moonshine,"d3.hsl(185, 1, 0.925)"
