name,color
Troilus,"d3.hsl(185, 1, 0.2)"
Pandarus,"d3.hsl(185, 1, 0.226785714286)"
Aeneas,"d3.hsl(185, 1, 0.253571428571)"
Cressida,"d3.hsl(185, 1, 0.280357142857)"
Alexander,"d3.hsl(185, 1, 0.307142857143)"
Boy,"d3.hsl(185, 1, 0.333928571429)"
Agamemnon,"d3.hsl(185, 1, 0.360714285714)"
Nestor,"d3.hsl(185, 1, 0.3875)"
Ulysses,"d3.hsl(185, 1, 0.414285714286)"
Menelaus,"d3.hsl(185, 1, 0.441071428571)"
Ajax,"d3.hsl(185, 1, 0.467857142857)"
Thersites,"d3.hsl(185, 1, 0.494642857143)"
Achilles,"d3.hsl(185, 1, 0.521428571429)"
Patroclus,"d3.hsl(185, 1, 0.548214285714)"
Priam,"d3.hsl(185, 1, 0.575)"
Hector,"d3.hsl(185, 1, 0.601785714286)"
Helenus,"d3.hsl(185, 1, 0.628571428571)"
Cassandra,"d3.hsl(185, 1, 0.655357142857)"
Paris,"d3.hsl(185, 1, 0.682142857143)"
Diomedes,"d3.hsl(185, 1, 0.708928571429)"
Servant,"d3.hsl(185, 1, 0.735714285714)"
Helen,"d3.hsl(185, 1, 0.7625)"
Calchas,"d3.hsl(185, 1, 0.789285714286)"
Deiphobus,"d3.hsl(185, 1, 0.816071428571)"
All,"d3.hsl(185, 1, 0.842857142857)"
Andromache,"d3.hsl(185, 1, 0.869642857143)"
Margarelon,"d3.hsl(185, 1, 0.896428571429)"
Myrmidons,"d3.hsl(185, 1, 0.923214285714)"
