name,color
Aegeon,"d3.hsl(0, 1, .5)"
Duke solinus,"d3.hsl(18.0, 1, .5)"
Gaoler,"d3.hsl(36.0, 1, .5)"
First merchant,"d3.hsl(54.0, 1, .5)"
Antipholus of syracuse,"d3.hsl(72.0, 1, .5)"
Dromio of syracuse,"d3.hsl(90.0, 1, .5)"
Dromio of ephesus,"d3.hsl(108.0, 1, .5)"
Adriana,"d3.hsl(126.0, 1, .5)"
Luciana,"d3.hsl(144.0, 1, .5)"
Of ephesus,"d3.hsl(162.0, 1, .5)"
Antipholus of ephesus,"d3.hsl(180.0, 1, .5)"
Balthazar,"d3.hsl(198.0, 1, .5)"
Luce,"d3.hsl(216.0, 1, .5)"
Angelo,"d3.hsl(234.0, 1, .5)"
Second merchant,"d3.hsl(252.0, 1, .5)"
Officer,"d3.hsl(270.0, 1, .5)"
Courtezan,"d3.hsl(288.0, 1, .5)"
Pinch,"d3.hsl(306.0, 1, .5)"
Aemelia,"d3.hsl(324.0, 1, .5)"
Servant,"d3.hsl(342.0, 1, .5)"
name,color
Aegeon,"d3.hsl(0, 1, .5)"
Duke solinus,"d3.hsl(18.0, 1, .5)"
Gaoler,"d3.hsl(36.0, 1, .5)"
First merchant,"d3.hsl(54.0, 1, .5)"
Antipholus of syracuse,"d3.hsl(72.0, 1, .5)"
Dromio of syracuse,"d3.hsl(90.0, 1, .5)"
Dromio of ephesus,"d3.hsl(108.0, 1, .5)"
Adriana,"d3.hsl(126.0, 1, .5)"
Luciana,"d3.hsl(144.0, 1, .5)"
Of ephesus,"d3.hsl(162.0, 1, .5)"
Antipholus of ephesus,"d3.hsl(180.0, 1, .5)"
Balthazar,"d3.hsl(198.0, 1, .5)"
Luce,"d3.hsl(216.0, 1, .5)"
Angelo,"d3.hsl(234.0, 1, .5)"
Second merchant,"d3.hsl(252.0, 1, .5)"
Officer,"d3.hsl(270.0, 1, .5)"
Courtezan,"d3.hsl(288.0, 1, .5)"
Pinch,"d3.hsl(306.0, 1, .5)"
Aemelia,"d3.hsl(324.0, 1, .5)"
Servant,"d3.hsl(342.0, 1, .5)"
name,color
Aegeon,"d3.hsl(0, 1, .5)"
Duke solinus,"d3.hsl(18.0, 1, .5)"
Gaoler,"d3.hsl(36.0, 1, .5)"
First merchant,"d3.hsl(54.0, 1, .5)"
Antipholus of syracuse,"d3.hsl(72.0, 1, .5)"
Dromio of syracuse,"d3.hsl(90.0, 1, .5)"
Dromio of ephesus,"d3.hsl(108.0, 1, .5)"
Adriana,"d3.hsl(126.0, 1, .5)"
Luciana,"d3.hsl(144.0, 1, .5)"
Of ephesus,"d3.hsl(162.0, 1, .5)"
Antipholus of ephesus,"d3.hsl(180.0, 1, .5)"
Balthazar,"d3.hsl(198.0, 1, .5)"
Luce,"d3.hsl(216.0, 1, .5)"
Angelo,"d3.hsl(234.0, 1, .5)"
Second merchant,"d3.hsl(252.0, 1, .5)"
Officer,"d3.hsl(270.0, 1, .5)"
Courtezan,"d3.hsl(288.0, 1, .5)"
Pinch,"d3.hsl(306.0, 1, .5)"
Aemelia,"d3.hsl(324.0, 1, .5)"
Servant,"d3.hsl(342.0, 1, .5)"
name,color
Aegeon,"d3.hsl(0, 1, .5)"
Duke solinus,"d3.hsl(18.0, 1, .5)"
Gaoler,"d3.hsl(36.0, 1, .5)"
First merchant,"d3.hsl(54.0, 1, .5)"
Antipholus of syracuse,"d3.hsl(72.0, 1, .5)"
Dromio of syracuse,"d3.hsl(90.0, 1, .5)"
Dromio of ephesus,"d3.hsl(108.0, 1, .5)"
Adriana,"d3.hsl(126.0, 1, .5)"
Luciana,"d3.hsl(144.0, 1, .5)"
Of ephesus,"d3.hsl(162.0, 1, .5)"
Antipholus of ephesus,"d3.hsl(180.0, 1, .5)"
Balthazar,"d3.hsl(198.0, 1, .5)"
Luce,"d3.hsl(216.0, 1, .5)"
Angelo,"d3.hsl(234.0, 1, .5)"
Second merchant,"d3.hsl(252.0, 1, .5)"
Officer,"d3.hsl(270.0, 1, .5)"
Courtezan,"d3.hsl(288.0, 1, .5)"
Pinch,"d3.hsl(306.0, 1, .5)"
Aemelia,"d3.hsl(324.0, 1, .5)"
Servant,"d3.hsl(342.0, 1, .5)"
