name,color
Theseus,"d3.hsl(0, 1, .5)"
Hippolyta,"d3.hsl(12.0, 1, .5)"
Egeus,"d3.hsl(24.0, 1, .5)"
Hermia,"d3.hsl(36.0, 1, .5)"
Demetrius,"d3.hsl(48.0, 1, .5)"
Lysander,"d3.hsl(60.0, 1, .5)"
Helena,"d3.hsl(72.0, 1, .5)"
Quince,"d3.hsl(84.0, 1, .5)"
Bottom,"d3.hsl(96.0, 1, .5)"
Flute,"d3.hsl(108.0, 1, .5)"
Starveling,"d3.hsl(120.0, 1, .5)"
Snout,"d3.hsl(132.0, 1, .5)"
Snug,"d3.hsl(144.0, 1, .5)"
All,"d3.hsl(156.0, 1, .5)"
Puck,"d3.hsl(168.0, 1, .5)"
Fairy,"d3.hsl(180.0, 1, .5)"
Oberon,"d3.hsl(192.0, 1, .5)"
Titania,"d3.hsl(204.0, 1, .5)"
Peaseblossom,"d3.hsl(216.0, 1, .5)"
Cobweb,"d3.hsl(228.0, 1, .5)"
Moth,"d3.hsl(240.0, 1, .5)"
Mustardseed,"d3.hsl(252.0, 1, .5)"
Hernia,"d3.hsl(264.0, 1, .5)"
Philostrate,"d3.hsl(276.0, 1, .5)"
Prologue,"d3.hsl(288.0, 1, .5)"
Wall,"d3.hsl(300.0, 1, .5)"
Pyramus,"d3.hsl(312.0, 1, .5)"
Thisbe,"d3.hsl(324.0, 1, .5)"
Lion,"d3.hsl(336.0, 1, .5)"
Moonshine,"d3.hsl(348.0, 1, .5)"
name,color
Theseus,"d3.hsl(0, 1, .5)"
Hippolyta,"d3.hsl(12.0, 1, .5)"
Egeus,"d3.hsl(24.0, 1, .5)"
Hermia,"d3.hsl(36.0, 1, .5)"
Demetrius,"d3.hsl(48.0, 1, .5)"
Lysander,"d3.hsl(60.0, 1, .5)"
Helena,"d3.hsl(72.0, 1, .5)"
Quince,"d3.hsl(84.0, 1, .5)"
Bottom,"d3.hsl(96.0, 1, .5)"
Flute,"d3.hsl(108.0, 1, .5)"
Starveling,"d3.hsl(120.0, 1, .5)"
Snout,"d3.hsl(132.0, 1, .5)"
Snug,"d3.hsl(144.0, 1, .5)"
All,"d3.hsl(156.0, 1, .5)"
Puck,"d3.hsl(168.0, 1, .5)"
