name,color
King henry iv,"d3.hsl(0, 1, .5)"
Westmoreland,"d3.hsl(10.2857142857, 1, .5)"
Falstaff,"d3.hsl(20.5714285714, 1, .5)"
Prince henry,"d3.hsl(30.8571428571, 1, .5)"
Poins,"d3.hsl(41.1428571429, 1, .5)"
Earl of worcester,"d3.hsl(51.4285714286, 1, .5)"
Northumberland,"d3.hsl(61.7142857143, 1, .5)"
Hotspur,"d3.hsl(72.0, 1, .5)"
Sir walter blunt,"d3.hsl(82.2857142857, 1, .5)"
First carrier,"d3.hsl(92.5714285714, 1, .5)"
Ostler,"d3.hsl(102.857142857, 1, .5)"
Second carrier,"d3.hsl(113.142857143, 1, .5)"
Gadshill,"d3.hsl(123.428571429, 1, .5)"
Chamberlain,"d3.hsl(133.714285714, 1, .5)"
Bardolph,"d3.hsl(144.0, 1, .5)"
Peto,"d3.hsl(154.285714286, 1, .5)"
First traveller,"d3.hsl(164.571428571, 1, .5)"
Thieves,"d3.hsl(174.857142857, 1, .5)"
Travellers,"d3.hsl(185.142857143, 1, .5)"
Lady percy,"d3.hsl(195.428571429, 1, .5)"
Servant,"d3.hsl(205.714285714, 1, .5)"
Francis,"d3.hsl(216.0, 1, .5)"
Vintner,"d3.hsl(226.285714286, 1, .5)"
Hostess,"d3.hsl(236.571428571, 1, .5)"
Sheriff,"d3.hsl(246.857142857, 1, .5)"
Carrier,"d3.hsl(257.142857143, 1, .5)"
Mortimer,"d3.hsl(267.428571429, 1, .5)"
Glendower,"d3.hsl(277.714285714, 1, .5)"
Earl of douglas,"d3.hsl(288.0, 1, .5)"
Messenger,"d3.hsl(298.285714286, 1, .5)"
Vernon,"d3.hsl(308.571428571, 1, .5)"
Worcester,"d3.hsl(318.857142857, 1, .5)"
Archbishop of york,"d3.hsl(329.142857143, 1, .5)"
Sir michael,"d3.hsl(339.428571429, 1, .5)"
Lancaster,"d3.hsl(349.714285714, 1, .5)"
name,color
Lord bardolph,"d3.hsl(0, 1, .5)"
Porter,"d3.hsl(7.65957446809, 1, .5)"
Northumberland,"d3.hsl(15.3191489362, 1, .5)"
Travers,"d3.hsl(22.9787234043, 1, .5)"
Morton,"d3.hsl(30.6382978723, 1, .5)"
Falstaff,"d3.hsl(38.2978723404, 1, .5)"
Page,"d3.hsl(45.9574468085, 1, .5)"
Lord chief-justice,"d3.hsl(53.6170212766, 1, .5)"
Servant,"d3.hsl(61.2765957447, 1, .5)"
Archbishop of york,"d3.hsl(68.9361702128, 1, .5)"
Mowbray,"d3.hsl(76.5957446809, 1, .5)"
Hastings,"d3.hsl(84.2553191489, 1, .5)"
Fang,"d3.hsl(91.914893617, 1, .5)"
Mistress quickly,"d3.hsl(99.5744680851, 1, .5)"
Gower,"d3.hsl(107.234042553, 1, .5)"
Prince henry,"d3.hsl(114.893617021, 1, .5)"
Poins,"d3.hsl(122.553191489, 1, .5)"
Bardolph,"d3.hsl(130.212765957, 1, .5)"
Lady northumberland,"d3.hsl(137.872340426, 1, .5)"
Lady percy,"d3.hsl(145.531914894, 1, .5)"
First drawer,"d3.hsl(153.191489362, 1, .5)"
Second drawer,"d3.hsl(160.85106383, 1, .5)"
Doll tearsheet,"d3.hsl(168.510638298, 1, .5)"
Pistol,"d3.hsl(176.170212766, 1, .5)"
Peto,"d3.hsl(183.829787234, 1, .5)"
King henry iv,"d3.hsl(191.489361702, 1, .5)"
Warwick,"d3.hsl(199.14893617, 1, .5)"
Shallow,"d3.hsl(206.808510638, 1, .5)"
Silence,"d3.hsl(214.468085106, 1, .5)"
Shadow,"d3.hsl(222.127659574, 1, .5)"
Mouldy,"d3.hsl(229.787234043, 1, .5)"
Wart,"d3.hsl(237.446808511, 1, .5)"
Feeble,"d3.hsl(245.106382979, 1, .5)"
Bullcalf,"d3.hsl(252.765957447, 1, .5)"
Messenger,"d3.hsl(260.425531915, 1, .5)"
Westmoreland,"d3.hsl(268.085106383, 1, .5)"
Lancaster,"d3.hsl(275.744680851, 1, .5)"
Colevile,"d3.hsl(283.404255319, 1, .5)"
Gloucester,"d3.hsl(291.063829787, 1, .5)"
Clarence,"d3.hsl(298.723404255, 1, .5)"
Harcourt,"d3.hsl(306.382978723, 1, .5)"
Davy,"d3.hsl(314.042553191, 1, .5)"
King henry v,"d3.hsl(321.70212766, 1, .5)"
Princes,"d3.hsl(329.361702128, 1, .5)"
First beadle,"d3.hsl(337.021276596, 1, .5)"
First groom,"d3.hsl(344.680851064, 1, .5)"
Second groom,"d3.hsl(352.340425532, 1, .5)"
name,color
King henry iv,"d3.hsl(0, 1, .5)"
Westmoreland,"d3.hsl(10.2857142857, 1, .5)"
