name,color
Duke vincentio,"d3.hsl(0, 1, .5)"
Escalus,"d3.hsl(13.8461538462, 1, .5)"
Angelo,"d3.hsl(27.6923076923, 1, .5)"
Duke,"d3.hsl(41.5384615385, 1, .5)"
Lucio,"d3.hsl(55.3846153846, 1, .5)"
First gentleman,"d3.hsl(69.2307692308, 1, .5)"
Second gentleman,"d3.hsl(83.0769230769, 1, .5)"
Mistress overdone,"d3.hsl(96.9230769231, 1, .5)"
Pompey,"d3.hsl(110.769230769, 1, .5)"
Claudio,"d3.hsl(124.615384615, 1, .5)"
Provost,"d3.hsl(138.461538462, 1, .5)"
Friar thomas,"d3.hsl(152.307692308, 1, .5)"
Isabella,"d3.hsl(166.153846154, 1, .5)"
Francisca,"d3.hsl(180.0, 1, .5)"
Elbow,"d3.hsl(193.846153846, 1, .5)"
Froth,"d3.hsl(207.692307692, 1, .5)"
Pomphey,"d3.hsl(221.538461538, 1, .5)"
Justice,"d3.hsl(235.384615385, 1, .5)"
Servant,"d3.hsl(249.230769231, 1, .5)"
Juliet,"d3.hsl(263.076923077, 1, .5)"
Boy,"d3.hsl(276.923076923, 1, .5)"
Mariana,"d3.hsl(290.769230769, 1, .5)"
Abhorson,"d3.hsl(304.615384615, 1, .5)"
Messenger,"d3.hsl(318.461538462, 1, .5)"
Barnardine,"d3.hsl(332.307692308, 1, .5)"
Friar peter,"d3.hsl(346.153846154, 1, .5)"
