name,color
Shallow,"d3.hsl(0, 1, .5)"
Slender,"d3.hsl(15.0, 1, .5)"
Sir hugh evans,"d3.hsl(30.0, 1, .5)"
Page,"d3.hsl(45.0, 1, .5)"
Falstaff,"d3.hsl(60.0, 1, .5)"
Bardolph,"d3.hsl(75.0, 1, .5)"
Pistol,"d3.hsl(90.0, 1, .5)"
Nym,"d3.hsl(105.0, 1, .5)"
Simple,"d3.hsl(120.0, 1, .5)"
Anne page,"d3.hsl(135.0, 1, .5)"
Host,"d3.hsl(150.0, 1, .5)"
Mistress quickly,"d3.hsl(165.0, 1, .5)"
Rugby,"d3.hsl(180.0, 1, .5)"
Doctor caius,"d3.hsl(195.0, 1, .5)"
Fenton,"d3.hsl(210.0, 1, .5)"
Mistress page,"d3.hsl(225.0, 1, .5)"
Mistress ford,"d3.hsl(240.0, 1, .5)"
Ford,"d3.hsl(255.0, 1, .5)"
Robin,"d3.hsl(270.0, 1, .5)"
All,"d3.hsl(285.0, 1, .5)"
Servant,"d3.hsl(300.0, 1, .5)"
William page,"d3.hsl(315.0, 1, .5)"
First servant,"d3.hsl(330.0, 1, .5)"
Second servant,"d3.hsl(345.0, 1, .5)"
