name,color
Leonato,"d3.hsl(0, 1, .5)"
Messenger,"d3.hsl(15.652173913, 1, .5)"
Beatrice,"d3.hsl(31.3043478261, 1, .5)"
Hero,"d3.hsl(46.9565217391, 1, .5)"
Don pedro,"d3.hsl(62.6086956522, 1, .5)"
Benedick,"d3.hsl(78.2608695652, 1, .5)"
Don john,"d3.hsl(93.9130434783, 1, .5)"
Claudio,"d3.hsl(109.565217391, 1, .5)"
Antonio,"d3.hsl(125.217391304, 1, .5)"
Conrade,"d3.hsl(140.869565217, 1, .5)"
Borachio,"d3.hsl(156.52173913, 1, .5)"
Balthasar,"d3.hsl(172.173913043, 1, .5)"
Margaret,"d3.hsl(187.826086957, 1, .5)"
Ursula,"d3.hsl(203.47826087, 1, .5)"
Boy,"d3.hsl(219.130434783, 1, .5)"
Dogberry,"d3.hsl(234.782608696, 1, .5)"
Verges,"d3.hsl(250.434782609, 1, .5)"
First watchman,"d3.hsl(266.086956522, 1, .5)"
Second watchman,"d3.hsl(281.739130435, 1, .5)"
Watchman,"d3.hsl(297.391304348, 1, .5)"
Friar francis,"d3.hsl(313.043478261, 1, .5)"
Sexton,"d3.hsl(328.695652174, 1, .5)"
Lord,"d3.hsl(344.347826087, 1, .5)"
