name,color
Saturninus,"d3.hsl(0, 1, .5)"
Bassianus,"d3.hsl(13.3333333333, 1, .5)"
Marcus andronicus,"d3.hsl(26.6666666667, 1, .5)"
Captain,"d3.hsl(40.0, 1, .5)"
Titus andronicus,"d3.hsl(53.3333333333, 1, .5)"
Lucius,"d3.hsl(66.6666666667, 1, .5)"
Tamora,"d3.hsl(80.0, 1, .5)"
Chiron,"d3.hsl(93.3333333333, 1, .5)"
Demetrius,"d3.hsl(106.666666667, 1, .5)"
Lavinia,"d3.hsl(120.0, 1, .5)"
Tribunes,"d3.hsl(133.333333333, 1, .5)"
Mutius,"d3.hsl(146.666666667, 1, .5)"
Quintus,"d3.hsl(160.0, 1, .5)"
Martius,"d3.hsl(173.333333333, 1, .5)"
All,"d3.hsl(186.666666667, 1, .5)"
Aaron,"d3.hsl(200.0, 1, .5)"
Marcus,"d3.hsl(213.333333333, 1, .5)"
Messenger,"d3.hsl(226.666666667, 1, .5)"
Young lucius,"d3.hsl(240.0, 1, .5)"
Nurse,"d3.hsl(253.333333333, 1, .5)"
Publius,"d3.hsl(266.666666667, 1, .5)"
Clown,"d3.hsl(280.0, 1, .5)"
Aemilius,"d3.hsl(293.333333333, 1, .5)"
First goth,"d3.hsl(306.666666667, 1, .5)"
All the goths,"d3.hsl(320.0, 1, .5)"
Second goth,"d3.hsl(333.333333333, 1, .5)"
Third goth,"d3.hsl(346.666666667, 1, .5)"
