name,color
Leonato,"d3.hsl(185, 1, 0.2)"
Messenger,"d3.hsl(185, 1, 0.232608695652)"
Beatrice,"d3.hsl(185, 1, 0.265217391304)"
Hero,"d3.hsl(185, 1, 0.297826086957)"
Don pedro,"d3.hsl(185, 1, 0.330434782609)"
Benedick,"d3.hsl(185, 1, 0.363043478261)"
Don john,"d3.hsl(185, 1, 0.395652173913)"
Claudio,"d3.hsl(185, 1, 0.428260869565)"
Antonio,"d3.hsl(185, 1, 0.460869565217)"
Conrade,"d3.hsl(185, 1, 0.49347826087)"
Borachio,"d3.hsl(185, 1, 0.526086956522)"
Balthasar,"d3.hsl(185, 1, 0.558695652174)"
Margaret,"d3.hsl(185, 1, 0.591304347826)"
Ursula,"d3.hsl(185, 1, 0.623913043478)"
Boy,"d3.hsl(185, 1, 0.65652173913)"
Dogberry,"d3.hsl(185, 1, 0.689130434783)"
Verges,"d3.hsl(185, 1, 0.721739130435)"
First watchman,"d3.hsl(185, 1, 0.754347826087)"
Second watchman,"d3.hsl(185, 1, 0.786956521739)"
Watchman,"d3.hsl(185, 1, 0.819565217391)"
Friar francis,"d3.hsl(185, 1, 0.852173913043)"
Sexton,"d3.hsl(185, 1, 0.884782608696)"
Lord,"d3.hsl(185, 1, 0.917391304348)"
