name,color
First gentleman,"d3.hsl(185, 1, 0.2)"
Second gentleman,"d3.hsl(185, 1, 0.21875)"
Queen,"d3.hsl(185, 1, 0.2375)"
Posthumus leonatus,"d3.hsl(185, 1, 0.25625)"
Imogen,"d3.hsl(185, 1, 0.275)"
Cymbeline,"d3.hsl(185, 1, 0.29375)"
Pisanio,"d3.hsl(185, 1, 0.3125)"
First lord,"d3.hsl(185, 1, 0.33125)"
Cloten,"d3.hsl(185, 1, 0.35)"
Second lord,"d3.hsl(185, 1, 0.36875)"
Lady,"d3.hsl(185, 1, 0.3875)"
Iachimo,"d3.hsl(185, 1, 0.40625)"
Philario,"d3.hsl(185, 1, 0.425)"
Frenchman,"d3.hsl(185, 1, 0.44375)"
First lady,"d3.hsl(185, 1, 0.4625)"
Cornelius,"d3.hsl(185, 1, 0.48125)"
Messenger,"d3.hsl(185, 1, 0.5)"
Caius lucius,"d3.hsl(185, 1, 0.51875)"
Lords,"d3.hsl(185, 1, 0.5375)"
Belarius,"d3.hsl(185, 1, 0.55625)"
Guiderius,"d3.hsl(185, 1, 0.575)"
Arviragus,"d3.hsl(185, 1, 0.59375)"
Attendant,"d3.hsl(185, 1, 0.6125)"
First senator,"d3.hsl(185, 1, 0.63125)"
First tribune,"d3.hsl(185, 1, 0.65)"
Second senator,"d3.hsl(185, 1, 0.66875)"
Captain,"d3.hsl(185, 1, 0.6875)"
Soothsayer,"d3.hsl(185, 1, 0.70625)"
Lord,"d3.hsl(185, 1, 0.725)"
First captain,"d3.hsl(185, 1, 0.74375)"
Second captain,"d3.hsl(185, 1, 0.7625)"
First gaoler,"d3.hsl(185, 1, 0.78125)"
Second gaoler,"d3.hsl(185, 1, 0.8)"
Sicilius leonatus,"d3.hsl(185, 1, 0.81875)"
Mother,"d3.hsl(185, 1, 0.8375)"
First brother,"d3.hsl(185, 1, 0.85625)"
Second brother,"d3.hsl(185, 1, 0.875)"
Jupiter,"d3.hsl(185, 1, 0.89375)"
All,"d3.hsl(185, 1, 0.9125)"
Posthumus leonatus,"d3.hsl(185, 1, 0.93125)"
