name,color
Aegeon,"d3.hsl(185, 1, 0.2)"
Duke solinus,"d3.hsl(185, 1, 0.2375)"
Gaoler,"d3.hsl(185, 1, 0.275)"
First merchant,"d3.hsl(185, 1, 0.3125)"
Antipholus of syracuse,"d3.hsl(185, 1, 0.35)"
Dromio of syracuse,"d3.hsl(185, 1, 0.3875)"
Dromio of ephesus,"d3.hsl(185, 1, 0.425)"
Adriana,"d3.hsl(185, 1, 0.4625)"
Luciana,"d3.hsl(185, 1, 0.5)"
Of ephesus,"d3.hsl(185, 1, 0.5375)"
Antipholus of ephesus,"d3.hsl(185, 1, 0.575)"
Balthazar,"d3.hsl(185, 1, 0.6125)"
Luce,"d3.hsl(185, 1, 0.65)"
Angelo,"d3.hsl(185, 1, 0.6875)"
Second merchant,"d3.hsl(185, 1, 0.725)"
Officer,"d3.hsl(185, 1, 0.7625)"
Courtezan,"d3.hsl(185, 1, 0.8)"
Pinch,"d3.hsl(185, 1, 0.8375)"
Aemelia,"d3.hsl(185, 1, 0.875)"
Servant,"d3.hsl(185, 1, 0.9125)"
