name,color
Lord bardolph,"d3.hsl(185, 1, 0.2)"
Porter,"d3.hsl(185, 1, 0.215957446809)"
Northumberland,"d3.hsl(185, 1, 0.231914893617)"
Travers,"d3.hsl(185, 1, 0.247872340426)"
Morton,"d3.hsl(185, 1, 0.263829787234)"
Falstaff,"d3.hsl(185, 1, 0.279787234043)"
Page,"d3.hsl(185, 1, 0.295744680851)"
Lord chief-justice,"d3.hsl(185, 1, 0.31170212766)"
Servant,"d3.hsl(185, 1, 0.327659574468)"
Archbishop of york,"d3.hsl(185, 1, 0.343617021277)"
Mowbray,"d3.hsl(185, 1, 0.359574468085)"
Hastings,"d3.hsl(185, 1, 0.375531914894)"
Fang,"d3.hsl(185, 1, 0.391489361702)"
Mistress quickly,"d3.hsl(185, 1, 0.407446808511)"
Gower,"d3.hsl(185, 1, 0.423404255319)"
Prince henry,"d3.hsl(185, 1, 0.439361702128)"
Poins,"d3.hsl(185, 1, 0.455319148936)"
Bardolph,"d3.hsl(185, 1, 0.471276595745)"
Lady northumberland,"d3.hsl(185, 1, 0.487234042553)"
Lady percy,"d3.hsl(185, 1, 0.503191489362)"
First drawer,"d3.hsl(185, 1, 0.51914893617)"
Second drawer,"d3.hsl(185, 1, 0.535106382979)"
Doll tearsheet,"d3.hsl(185, 1, 0.551063829787)"
Pistol,"d3.hsl(185, 1, 0.567021276596)"
Peto,"d3.hsl(185, 1, 0.582978723404)"
King henry iv,"d3.hsl(185, 1, 0.598936170213)"
Warwick,"d3.hsl(185, 1, 0.614893617021)"
Shallow,"d3.hsl(185, 1, 0.63085106383)"
Silence,"d3.hsl(185, 1, 0.646808510638)"
Shadow,"d3.hsl(185, 1, 0.662765957447)"
Mouldy,"d3.hsl(185, 1, 0.678723404255)"
Wart,"d3.hsl(185, 1, 0.694680851064)"
Feeble,"d3.hsl(185, 1, 0.710638297872)"
Bullcalf,"d3.hsl(185, 1, 0.726595744681)"
Messenger,"d3.hsl(185, 1, 0.742553191489)"
Westmoreland,"d3.hsl(185, 1, 0.758510638298)"
Lancaster,"d3.hsl(185, 1, 0.774468085106)"
Colevile,"d3.hsl(185, 1, 0.790425531915)"
Gloucester,"d3.hsl(185, 1, 0.806382978723)"
Clarence,"d3.hsl(185, 1, 0.822340425532)"
Harcourt,"d3.hsl(185, 1, 0.83829787234)"
Davy,"d3.hsl(185, 1, 0.854255319149)"
King henry v,"d3.hsl(185, 1, 0.870212765957)"
Princes,"d3.hsl(185, 1, 0.886170212766)"
First beadle,"d3.hsl(185, 1, 0.902127659574)"
First groom,"d3.hsl(185, 1, 0.918085106383)"
Second groom,"d3.hsl(185, 1, 0.934042553191)"
