name,color
Flavius,"d3.hsl(185, 1, 0.2)"
First commoner,"d3.hsl(185, 1, 0.215)"
Marullus,"d3.hsl(185, 1, 0.23)"
Second commoner,"d3.hsl(185, 1, 0.245)"
Caesar,"d3.hsl(185, 1, 0.26)"
Casca,"d3.hsl(185, 1, 0.275)"
Calpurnia,"d3.hsl(185, 1, 0.29)"
Antony,"d3.hsl(185, 1, 0.305)"
Soothsayer,"d3.hsl(185, 1, 0.32)"
Brutus,"d3.hsl(185, 1, 0.335)"
Cassius,"d3.hsl(185, 1, 0.35)"
Cicero,"d3.hsl(185, 1, 0.365)"
Cinna,"d3.hsl(185, 1, 0.38)"
Lucius,"d3.hsl(185, 1, 0.395)"
Decius brutus,"d3.hsl(185, 1, 0.41)"
Metellus cimber,"d3.hsl(185, 1, 0.425)"
Trebonius,"d3.hsl(185, 1, 0.44)"
Portia,"d3.hsl(185, 1, 0.455)"
Ligarius,"d3.hsl(185, 1, 0.47)"
Servant,"d3.hsl(185, 1, 0.485)"
Publius,"d3.hsl(185, 1, 0.5)"
Artemidorus,"d3.hsl(185, 1, 0.515)"
Popilius,"d3.hsl(185, 1, 0.53)"
Citizens,"d3.hsl(185, 1, 0.545)"
First citizen,"d3.hsl(185, 1, 0.56)"
Second citizen,"d3.hsl(185, 1, 0.575)"
Third citizen,"d3.hsl(185, 1, 0.59)"
All,"d3.hsl(185, 1, 0.605)"
Fourth citizen,"d3.hsl(185, 1, 0.62)"
Several citizens,"d3.hsl(185, 1, 0.635)"
Cinna the poet,"d3.hsl(185, 1, 0.65)"
Octavius,"d3.hsl(185, 1, 0.665)"
Lepidus,"d3.hsl(185, 1, 0.68)"
Lucilius,"d3.hsl(185, 1, 0.695)"
Pindarus,"d3.hsl(185, 1, 0.71)"
First soldier,"d3.hsl(185, 1, 0.725)"
Second soldier,"d3.hsl(185, 1, 0.74)"
Third soldier,"d3.hsl(185, 1, 0.755)"
Poet,"d3.hsl(185, 1, 0.77)"
Messala,"d3.hsl(185, 1, 0.785)"
Titinius,"d3.hsl(185, 1, 0.8)"
Varro,"d3.hsl(185, 1, 0.815)"
Ghost,"d3.hsl(185, 1, 0.83)"
Claudius,"d3.hsl(185, 1, 0.845)"
Messenger,"d3.hsl(185, 1, 0.86)"
Cato,"d3.hsl(185, 1, 0.875)"
Clitus,"d3.hsl(185, 1, 0.89)"
Dardanius,"d3.hsl(185, 1, 0.905)"
Volumnius,"d3.hsl(185, 1, 0.92)"
Strato,"d3.hsl(185, 1, 0.935)"
