name,color
King john,"d3.hsl(185, 1, 0.2)"
Chatillon,"d3.hsl(185, 1, 0.226785714286)"
Queen elinor,"d3.hsl(185, 1, 0.253571428571)"
Essex,"d3.hsl(185, 1, 0.280357142857)"
Bastard,"d3.hsl(185, 1, 0.307142857143)"
Robert,"d3.hsl(185, 1, 0.333928571429)"
Lady faulconbridge,"d3.hsl(185, 1, 0.360714285714)"
Gurney,"d3.hsl(185, 1, 0.3875)"
Lewis,"d3.hsl(185, 1, 0.414285714286)"
Arthur,"d3.hsl(185, 1, 0.441071428571)"
Austria,"d3.hsl(185, 1, 0.467857142857)"
Constance,"d3.hsl(185, 1, 0.494642857143)"
King philip,"d3.hsl(185, 1, 0.521428571429)"
Blanch,"d3.hsl(185, 1, 0.548214285714)"
First citizen,"d3.hsl(185, 1, 0.575)"
French herald,"d3.hsl(185, 1, 0.601785714286)"
English herald,"d3.hsl(185, 1, 0.628571428571)"
Salisbury,"d3.hsl(185, 1, 0.655357142857)"
Cardinal pandulph,"d3.hsl(185, 1, 0.682142857143)"
Elinor,"d3.hsl(185, 1, 0.708928571429)"
Hubert,"d3.hsl(185, 1, 0.735714285714)"
First executioner,"d3.hsl(185, 1, 0.7625)"
Pembroke,"d3.hsl(185, 1, 0.789285714286)"
Messenger,"d3.hsl(185, 1, 0.816071428571)"
Peter,"d3.hsl(185, 1, 0.842857142857)"
Bigot,"d3.hsl(185, 1, 0.869642857143)"
Melun,"d3.hsl(185, 1, 0.896428571429)"
Prince henry,"d3.hsl(185, 1, 0.923214285714)"
