name,color
Kent,"d3.hsl(185, 1, 0.2)"
Gloucester,"d3.hsl(185, 1, 0.228846153846)"
Edmund,"d3.hsl(185, 1, 0.257692307692)"
King lear,"d3.hsl(185, 1, 0.286538461538)"
Goneril,"d3.hsl(185, 1, 0.315384615385)"
Cordelia,"d3.hsl(185, 1, 0.344230769231)"
Lear,"d3.hsl(185, 1, 0.373076923077)"
Regan,"d3.hsl(185, 1, 0.401923076923)"
Albany,"d3.hsl(185, 1, 0.430769230769)"
Cornwall,"d3.hsl(185, 1, 0.459615384615)"
Burgundy,"d3.hsl(185, 1, 0.488461538462)"
King of france,"d3.hsl(185, 1, 0.517307692308)"
Edgar,"d3.hsl(185, 1, 0.546153846154)"
Oswald,"d3.hsl(185, 1, 0.575)"
Knight,"d3.hsl(185, 1, 0.603846153846)"
Fool,"d3.hsl(185, 1, 0.632692307692)"
Gentleman,"d3.hsl(185, 1, 0.661538461538)"
Curan,"d3.hsl(185, 1, 0.690384615385)"
First servant,"d3.hsl(185, 1, 0.719230769231)"
Second servant,"d3.hsl(185, 1, 0.748076923077)"
Third servant,"d3.hsl(185, 1, 0.776923076923)"
Old man,"d3.hsl(185, 1, 0.805769230769)"
Messenger,"d3.hsl(185, 1, 0.834615384615)"
Doctor,"d3.hsl(185, 1, 0.863461538462)"
Captain,"d3.hsl(185, 1, 0.892307692308)"
Herald,"d3.hsl(185, 1, 0.921153846154)"
