name,color
Antonio,"d3.hsl(185, 1, 0.2)"
Salarino,"d3.hsl(185, 1, 0.232608695652)"
Salanio,"d3.hsl(185, 1, 0.265217391304)"
Bassanio,"d3.hsl(185, 1, 0.297826086957)"
Lorenzo,"d3.hsl(185, 1, 0.330434782609)"
Gratiano,"d3.hsl(185, 1, 0.363043478261)"
Portia,"d3.hsl(185, 1, 0.395652173913)"
Nerissa,"d3.hsl(185, 1, 0.428260869565)"
Servant,"d3.hsl(185, 1, 0.460869565217)"
Shylock,"d3.hsl(185, 1, 0.49347826087)"
Morocco,"d3.hsl(185, 1, 0.526086956522)"
Launcelot,"d3.hsl(185, 1, 0.558695652174)"
Gobbo,"d3.hsl(185, 1, 0.591304347826)"
Leonardo,"d3.hsl(185, 1, 0.623913043478)"
Jessica,"d3.hsl(185, 1, 0.65652173913)"
Arragon,"d3.hsl(185, 1, 0.689130434783)"
Tubal,"d3.hsl(185, 1, 0.721739130435)"
All,"d3.hsl(185, 1, 0.754347826087)"
Salerio,"d3.hsl(185, 1, 0.786956521739)"
Balthasar,"d3.hsl(185, 1, 0.819565217391)"
Duke,"d3.hsl(185, 1, 0.852173913043)"
Clerk,"d3.hsl(185, 1, 0.884782608696)"
Stephano,"d3.hsl(185, 1, 0.917391304348)"
