name,color
Antiochus,"d3.hsl(185, 1, 0.2)"
Pericles,"d3.hsl(185, 1, 0.215957446809)"
Daughter,"d3.hsl(185, 1, 0.231914893617)"
Thaliard,"d3.hsl(185, 1, 0.247872340426)"
Messenger,"d3.hsl(185, 1, 0.263829787234)"
First lord,"d3.hsl(185, 1, 0.279787234043)"
Second lord,"d3.hsl(185, 1, 0.295744680851)"
Helicanus,"d3.hsl(185, 1, 0.31170212766)"
Cleon,"d3.hsl(185, 1, 0.327659574468)"
Dionyza,"d3.hsl(185, 1, 0.343617021277)"
Lord,"d3.hsl(185, 1, 0.359574468085)"
All,"d3.hsl(185, 1, 0.375531914894)"
First fisherman,"d3.hsl(185, 1, 0.391489361702)"
Second fisherman,"d3.hsl(185, 1, 0.407446808511)"
Third fisherman,"d3.hsl(185, 1, 0.423404255319)"
Simonides,"d3.hsl(185, 1, 0.439361702128)"
Thaisa,"d3.hsl(185, 1, 0.455319148936)"
Third lord,"d3.hsl(185, 1, 0.471276595745)"
Knights,"d3.hsl(185, 1, 0.487234042553)"
Marshal,"d3.hsl(185, 1, 0.503191489362)"
First knight,"d3.hsl(185, 1, 0.51914893617)"
Knights,"d3.hsl(185, 1, 0.535106382979)"
Escanes,"d3.hsl(185, 1, 0.551063829787)"
Second knight,"d3.hsl(185, 1, 0.567021276596)"
Third knight,"d3.hsl(185, 1, 0.582978723404)"
Both,"d3.hsl(185, 1, 0.598936170213)"
Lychorida,"d3.hsl(185, 1, 0.614893617021)"
First sailor,"d3.hsl(185, 1, 0.63085106383)"
Second sailor,"d3.hsl(185, 1, 0.646808510638)"
Cerimon,"d3.hsl(185, 1, 0.662765957447)"
Philemon,"d3.hsl(185, 1, 0.678723404255)"
Servant,"d3.hsl(185, 1, 0.694680851064)"
First gentleman,"d3.hsl(185, 1, 0.710638297872)"
Second gentleman,"d3.hsl(185, 1, 0.726595744681)"
First servant,"d3.hsl(185, 1, 0.742553191489)"
Leonine,"d3.hsl(185, 1, 0.758510638298)"
Marina,"d3.hsl(185, 1, 0.774468085106)"
First pirate,"d3.hsl(185, 1, 0.790425531915)"
Second pirate,"d3.hsl(185, 1, 0.806382978723)"
Third pirate,"d3.hsl(185, 1, 0.822340425532)"
Pandar,"d3.hsl(185, 1, 0.83829787234)"
Boult,"d3.hsl(185, 1, 0.854255319149)"
Bawd,"d3.hsl(185, 1, 0.870212765957)"
Gower,"d3.hsl(185, 1, 0.886170212766)"
Lysimachus,"d3.hsl(185, 1, 0.902127659574)"
Tyrian sailor,"d3.hsl(185, 1, 0.918085106383)"
Diana,"d3.hsl(185, 1, 0.934042553191)"
