name,color
Gloucester,"d3.hsl(185, 1, 0.2)"
Clarence,"d3.hsl(185, 1, 0.210714285714)"
Brakenbury,"d3.hsl(185, 1, 0.221428571429)"
Hastings,"d3.hsl(185, 1, 0.232142857143)"
Lady anne,"d3.hsl(185, 1, 0.242857142857)"
Gentleman,"d3.hsl(185, 1, 0.253571428571)"
Gentlemen,"d3.hsl(185, 1, 0.264285714286)"
Rivers,"d3.hsl(185, 1, 0.275)"
Grey,"d3.hsl(185, 1, 0.285714285714)"
Queen elizabeth,"d3.hsl(185, 1, 0.296428571429)"
Buckingham,"d3.hsl(185, 1, 0.307142857143)"
Derby,"d3.hsl(185, 1, 0.317857142857)"
Queen margaret,"d3.hsl(185, 1, 0.328571428571)"
Dorset,"d3.hsl(185, 1, 0.339285714286)"
Catesby,"d3.hsl(185, 1, 0.35)"
First murderer,"d3.hsl(185, 1, 0.360714285714)"
Second murderer,"d3.hsl(185, 1, 0.371428571429)"
Second murderer,"d3.hsl(185, 1, 0.382142857143)"
Both,"d3.hsl(185, 1, 0.392857142857)"
King edward iv,"d3.hsl(185, 1, 0.403571428571)"
Boy,"d3.hsl(185, 1, 0.414285714286)"
Duchess of york,"d3.hsl(185, 1, 0.425)"
Girl,"d3.hsl(185, 1, 0.435714285714)"
Children,"d3.hsl(185, 1, 0.446428571429)"
First citizen,"d3.hsl(185, 1, 0.457142857143)"
Second citizen,"d3.hsl(185, 1, 0.467857142857)"
Third citizen,"d3.hsl(185, 1, 0.478571428571)"
Archbishop of york,"d3.hsl(185, 1, 0.489285714286)"
York,"d3.hsl(185, 1, 0.5)"
Messenger,"d3.hsl(185, 1, 0.510714285714)"
Prince edward,"d3.hsl(185, 1, 0.521428571429)"
Lord mayor,"d3.hsl(185, 1, 0.532142857143)"
Cardinal,"d3.hsl(185, 1, 0.542857142857)"
Stanley,"d3.hsl(185, 1, 0.553571428571)"
Lord stanley,"d3.hsl(185, 1, 0.564285714286)"
Pursuivant,"d3.hsl(185, 1, 0.575)"
Priest,"d3.hsl(185, 1, 0.585714285714)"
Ratcliff,"d3.hsl(185, 1, 0.596428571429)"
Vaughan,"d3.hsl(185, 1, 0.607142857143)"
Bishop of ely,"d3.hsl(185, 1, 0.617857142857)"
Lovel,"d3.hsl(185, 1, 0.628571428571)"
Scrivener,"d3.hsl(185, 1, 0.639285714286)"
Another,"d3.hsl(185, 1, 0.65)"
Citizens,"d3.hsl(185, 1, 0.660714285714)"
King richard iii,"d3.hsl(185, 1, 0.671428571429)"
Page,"d3.hsl(185, 1, 0.682142857143)"
Tyrrel,"d3.hsl(185, 1, 0.692857142857)"
Second messenger,"d3.hsl(185, 1, 0.703571428571)"
Third messenger,"d3.hsl(185, 1, 0.714285714286)"
Fourth messenger,"d3.hsl(185, 1, 0.725)"
Christopher,"d3.hsl(185, 1, 0.735714285714)"
Sheriff,"d3.hsl(185, 1, 0.746428571429)"
Richmond,"d3.hsl(185, 1, 0.757142857143)"
Oxford,"d3.hsl(185, 1, 0.767857142857)"
Herbert,"d3.hsl(185, 1, 0.778571428571)"
Blunt,"d3.hsl(185, 1, 0.789285714286)"
Surrey,"d3.hsl(185, 1, 0.8)"
Norfolk,"d3.hsl(185, 1, 0.810714285714)"
Ghost of prince edward,"d3.hsl(185, 1, 0.821428571429)"
Ghost of king henry vi,"d3.hsl(185, 1, 0.832142857143)"
Ghost of clarence,"d3.hsl(185, 1, 0.842857142857)"
Ghost of rivers,"d3.hsl(185, 1, 0.853571428571)"
Ghost of grey,"d3.hsl(185, 1, 0.864285714286)"
Ghost of vaughan,"d3.hsl(185, 1, 0.875)"
All,"d3.hsl(185, 1, 0.885714285714)"
Ghost of hastings,"d3.hsl(185, 1, 0.896428571429)"
Ghosts of young princes,"d3.hsl(185, 1, 0.907142857143)"
Ghost of lady anne,"d3.hsl(185, 1, 0.917857142857)"
Ghost of buckingham,"d3.hsl(185, 1, 0.928571428571)"
Lords,"d3.hsl(185, 1, 0.939285714286)"
