name,color
Poet,"d3.hsl(185, 1, 0.2)"
Painter,"d3.hsl(185, 1, 0.212096774194)"
Merchant,"d3.hsl(185, 1, 0.224193548387)"
Jeweller,"d3.hsl(185, 1, 0.236290322581)"
Jeweller:,"d3.hsl(185, 1, 0.248387096774)"
Timon,"d3.hsl(185, 1, 0.260483870968)"
Messenger,"d3.hsl(185, 1, 0.272580645161)"
Old athenian,"d3.hsl(185, 1, 0.284677419355)"
Lucilius,"d3.hsl(185, 1, 0.296774193548)"
Apemantus,"d3.hsl(185, 1, 0.308870967742)"
Alcibiades,"d3.hsl(185, 1, 0.320967741935)"
First lord,"d3.hsl(185, 1, 0.333064516129)"
Second lord,"d3.hsl(185, 1, 0.345161290323)"
Ventidius,"d3.hsl(185, 1, 0.357258064516)"
Third lord,"d3.hsl(185, 1, 0.36935483871)"
Servant,"d3.hsl(185, 1, 0.381451612903)"
Cupid,"d3.hsl(185, 1, 0.393548387097)"
First lady,"d3.hsl(185, 1, 0.40564516129)"
All ladies,"d3.hsl(185, 1, 0.417741935484)"
Flavius,"d3.hsl(185, 1, 0.429838709677)"
All,"d3.hsl(185, 1, 0.441935483871)"
Second servant,"d3.hsl(185, 1, 0.454032258065)"
Third servant,"d3.hsl(185, 1, 0.466129032258)"
All lords,"d3.hsl(185, 1, 0.478225806452)"
Senator,"d3.hsl(185, 1, 0.490322580645)"
Caphis,"d3.hsl(185, 1, 0.502419354839)"
Varro's servant,"d3.hsl(185, 1, 0.514516129032)"
Isidore's servant,"d3.hsl(185, 1, 0.526612903226)"
All servants,"d3.hsl(185, 1, 0.538709677419)"
Fool,"d3.hsl(185, 1, 0.550806451613)"
Page,"d3.hsl(185, 1, 0.562903225806)"
Servants,"d3.hsl(185, 1, 0.575)"
Flaminius,"d3.hsl(185, 1, 0.587096774194)"
Lucullus,"d3.hsl(185, 1, 0.599193548387)"
First stranger,"d3.hsl(185, 1, 0.611290322581)"
Second stranger,"d3.hsl(185, 1, 0.623387096774)"
Servilius,"d3.hsl(185, 1, 0.635483870968)"
Third stranger,"d3.hsl(185, 1, 0.647580645161)"
Sempronius,"d3.hsl(185, 1, 0.659677419355)"
Varro's first servant,"d3.hsl(185, 1, 0.671774193548)"
Titus,"d3.hsl(185, 1, 0.683870967742)"
Hortensius,"d3.hsl(185, 1, 0.695967741935)"
Lucilius' servant,"d3.hsl(185, 1, 0.708064516129)"
Philotus,"d3.hsl(185, 1, 0.720161290323)"
Varro's second servant,"d3.hsl(185, 1, 0.732258064516)"
Both varro's servants,"d3.hsl(185, 1, 0.74435483871)"
First senator,"d3.hsl(185, 1, 0.756451612903)"
Second senator,"d3.hsl(185, 1, 0.768548387097)"
Third senator,"d3.hsl(185, 1, 0.78064516129)"
Some speak,"d3.hsl(185, 1, 0.792741935484)"
Some others,"d3.hsl(185, 1, 0.804838709677)"
Fourth lord,"d3.hsl(185, 1, 0.816935483871)"
First servant,"d3.hsl(185, 1, 0.829032258065)"
Phrynia,"d3.hsl(185, 1, 0.841129032258)"
Timandra,"d3.hsl(185, 1, 0.853225806452)"
First bandit,"d3.hsl(185, 1, 0.865322580645)"
Second bandit,"d3.hsl(185, 1, 0.877419354839)"
Third bandit,"d3.hsl(185, 1, 0.889516129032)"
Banditti,"d3.hsl(185, 1, 0.901612903226)"
Both,"d3.hsl(185, 1, 0.913709677419)"
Soldier,"d3.hsl(185, 1, 0.925806451613)"
First senator ,"d3.hsl(185, 1, 0.937903225806)"
