name,color
Saturninus,"d3.hsl(185, 1, 0.2)"
Bassianus,"d3.hsl(185, 1, 0.227777777778)"
Marcus andronicus,"d3.hsl(185, 1, 0.255555555556)"
Captain,"d3.hsl(185, 1, 0.283333333333)"
Titus andronicus,"d3.hsl(185, 1, 0.311111111111)"
Lucius,"d3.hsl(185, 1, 0.338888888889)"
Tamora,"d3.hsl(185, 1, 0.366666666667)"
Chiron,"d3.hsl(185, 1, 0.394444444444)"
Demetrius,"d3.hsl(185, 1, 0.422222222222)"
Lavinia,"d3.hsl(185, 1, 0.45)"
Tribunes,"d3.hsl(185, 1, 0.477777777778)"
Mutius,"d3.hsl(185, 1, 0.505555555556)"
Quintus,"d3.hsl(185, 1, 0.533333333333)"
Martius,"d3.hsl(185, 1, 0.561111111111)"
All,"d3.hsl(185, 1, 0.588888888889)"
Aaron,"d3.hsl(185, 1, 0.616666666667)"
Marcus,"d3.hsl(185, 1, 0.644444444444)"
Messenger,"d3.hsl(185, 1, 0.672222222222)"
Young lucius,"d3.hsl(185, 1, 0.7)"
Nurse,"d3.hsl(185, 1, 0.727777777778)"
Publius,"d3.hsl(185, 1, 0.755555555556)"
Clown,"d3.hsl(185, 1, 0.783333333333)"
Aemilius,"d3.hsl(185, 1, 0.811111111111)"
First goth,"d3.hsl(185, 1, 0.838888888889)"
All the goths,"d3.hsl(185, 1, 0.866666666667)"
Second goth,"d3.hsl(185, 1, 0.894444444444)"
Third goth,"d3.hsl(185, 1, 0.922222222222)"
