name,color
Master,"d3.hsl(185, 1, 0.2)"
Boatswain,"d3.hsl(185, 1, 0.239473684211)"
Alonso,"d3.hsl(185, 1, 0.278947368421)"
Antonio,"d3.hsl(185, 1, 0.318421052632)"
Gonzalo,"d3.hsl(185, 1, 0.357894736842)"
Sebastian,"d3.hsl(185, 1, 0.397368421053)"
Mariners,"d3.hsl(185, 1, 0.436842105263)"
Miranda,"d3.hsl(185, 1, 0.476315789474)"
Prospero,"d3.hsl(185, 1, 0.515789473684)"
Ariel,"d3.hsl(185, 1, 0.555263157895)"
Caliban,"d3.hsl(185, 1, 0.594736842105)"
Ferdinand,"d3.hsl(185, 1, 0.634210526316)"
Adrian,"d3.hsl(185, 1, 0.673684210526)"
Francisco,"d3.hsl(185, 1, 0.713157894737)"
Trinculo,"d3.hsl(185, 1, 0.752631578947)"
Stephano,"d3.hsl(185, 1, 0.792105263158)"
Iris,"d3.hsl(185, 1, 0.831578947368)"
Ceres,"d3.hsl(185, 1, 0.871052631579)"
Juno,"d3.hsl(185, 1, 0.910526315789)"
