name,color
Countess,"d3.hsl(0, 1, .5)"
Bertram,"d3.hsl(14.4, 1, .5)"
Lafeu,"d3.hsl(28.8, 1, .5)"
Helena,"d3.hsl(43.2, 1, .5)"
Parolles,"d3.hsl(57.6, 1, .5)"
Page,"d3.hsl(72.0, 1, .5)"
King,"d3.hsl(86.4, 1, .5)"
First lord,"d3.hsl(100.8, 1, .5)"
Second lord,"d3.hsl(115.2, 1, .5)"
Steward,"d3.hsl(129.6, 1, .5)"
Clown,"d3.hsl(144.0, 1, .5)"
Both,"d3.hsl(158.4, 1, .5)"
All,"d3.hsl(172.8, 1, .5)"
Fourth lord,"d3.hsl(187.2, 1, .5)"
Duke,"d3.hsl(201.6, 1, .5)"
First gentleman,"d3.hsl(216.0, 1, .5)"
Second gentleman,"d3.hsl(230.4, 1, .5)"
Widow,"d3.hsl(244.8, 1, .5)"
Diana,"d3.hsl(259.2, 1, .5)"
Mariana,"d3.hsl(273.6, 1, .5)"
Both,"d3.hsl(288.0, 1, .5)"
First soldier,"d3.hsl(302.4, 1, .5)"
Second soldier,"d3.hsl(316.8, 1, .5)"
Servant,"d3.hsl(331.2, 1, .5)"
Gentleman,"d3.hsl(345.6, 1, .5)"
name,color
Countess,"d3.hsl(0, 1, .5)"
Bertram,"d3.hsl(14.4, 1, .5)"
Lafeu,"d3.hsl(28.8, 1, .5)"
Helena,"d3.hsl(43.2, 1, .5)"
Parolles,"d3.hsl(57.6, 1, .5)"
Page,"d3.hsl(72.0, 1, .5)"
King,"d3.hsl(86.4, 1, .5)"
First lord,"d3.hsl(100.8, 1, .5)"
Second lord,"d3.hsl(115.2, 1, .5)"
Steward,"d3.hsl(129.6, 1, .5)"
Clown,"d3.hsl(144.0, 1, .5)"
Both,"d3.hsl(158.4, 1, .5)"
All,"d3.hsl(172.8, 1, .5)"
Fourth lord,"d3.hsl(187.2, 1, .5)"
Duke,"d3.hsl(201.6, 1, .5)"
First gentleman,"d3.hsl(216.0, 1, .5)"
Second gentleman,"d3.hsl(230.4, 1, .5)"
Widow,"d3.hsl(244.8, 1, .5)"
Diana,"d3.hsl(259.2, 1, .5)"
Mariana,"d3.hsl(273.6, 1, .5)"
Both,"d3.hsl(288.0, 1, .5)"
First soldier,"d3.hsl(302.4, 1, .5)"
Second soldier,"d3.hsl(316.8, 1, .5)"
Servant,"d3.hsl(331.2, 1, .5)"
Gentleman,"d3.hsl(345.6, 1, .5)"
name,color
Countess,"d3.hsl(0, 1, .5)"
Bertram,"d3.hsl(14.4, 1, .5)"
Lafeu,"d3.hsl(28.8, 1, .5)"
Helena,"d3.hsl(43.2, 1, .5)"
Parolles,"d3.hsl(57.6, 1, .5)"
Page,"d3.hsl(72.0, 1, .5)"
King,"d3.hsl(86.4, 1, .5)"
First lord,"d3.hsl(100.8, 1, .5)"
Second lord,"d3.hsl(115.2, 1, .5)"
Steward,"d3.hsl(129.6, 1, .5)"
Clown,"d3.hsl(144.0, 1, .5)"
Both,"d3.hsl(158.4, 1, .5)"
All,"d3.hsl(172.8, 1, .5)"
Fourth lord,"d3.hsl(187.2, 1, .5)"
Duke,"d3.hsl(201.6, 1, .5)"
First gentleman,"d3.hsl(216.0, 1, .5)"
Second gentleman,"d3.hsl(230.4, 1, .5)"
Widow,"d3.hsl(244.8, 1, .5)"
Diana,"d3.hsl(259.2, 1, .5)"
Mariana,"d3.hsl(273.6, 1, .5)"
Both,"d3.hsl(288.0, 1, .5)"
First soldier,"d3.hsl(302.4, 1, .5)"
Second soldier,"d3.hsl(316.8, 1, .5)"
Servant,"d3.hsl(331.2, 1, .5)"
Gentleman,"d3.hsl(345.6, 1, .5)"
name,color
Countess,"d3.hsl(0, 1, .5)"
Bertram,"d3.hsl(14.4, 1, .5)"
Lafeu,"d3.hsl(28.8, 1, .5)"
Helena,"d3.hsl(43.2, 1, .5)"
Parolles,"d3.hsl(57.6, 1, .5)"
Page,"d3.hsl(72.0, 1, .5)"
King,"d3.hsl(86.4, 1, .5)"
First lord,"d3.hsl(100.8, 1, .5)"
Second lord,"d3.hsl(115.2, 1, .5)"
Steward,"d3.hsl(129.6, 1, .5)"
Clown,"d3.hsl(144.0, 1, .5)"
Both,"d3.hsl(158.4, 1, .5)"
All,"d3.hsl(172.8, 1, .5)"
Fourth lord,"d3.hsl(187.2, 1, .5)"
Duke,"d3.hsl(201.6, 1, .5)"
First gentleman,"d3.hsl(216.0, 1, .5)"
Second gentleman,"d3.hsl(230.4, 1, .5)"
Widow,"d3.hsl(244.8, 1, .5)"
Diana,"d3.hsl(259.2, 1, .5)"
Mariana,"d3.hsl(273.6, 1, .5)"
Both,"d3.hsl(288.0, 1, .5)"
First soldier,"d3.hsl(302.4, 1, .5)"
Second soldier,"d3.hsl(316.8, 1, .5)"
Servant,"d3.hsl(331.2, 1, .5)"
Gentleman,"d3.hsl(345.6, 1, .5)"
