name,color
Flavius,"d3.hsl(0, 1, .5)"
First commoner,"d3.hsl(7.2, 1, .5)"
Marullus,"d3.hsl(14.4, 1, .5)"
Second commoner,"d3.hsl(21.6, 1, .5)"
Caesar,"d3.hsl(28.8, 1, .5)"
Casca,"d3.hsl(36.0, 1, .5)"
Calpurnia,"d3.hsl(43.2, 1, .5)"
Antony,"d3.hsl(50.4, 1, .5)"
Soothsayer,"d3.hsl(57.6, 1, .5)"
Brutus,"d3.hsl(64.8, 1, .5)"
Cassius,"d3.hsl(72.0, 1, .5)"
Cicero,"d3.hsl(79.2, 1, .5)"
Cinna,"d3.hsl(86.4, 1, .5)"
Lucius,"d3.hsl(93.6, 1, .5)"
Decius brutus,"d3.hsl(100.8, 1, .5)"
Metellus cimber,"d3.hsl(108.0, 1, .5)"
Trebonius,"d3.hsl(115.2, 1, .5)"
Portia,"d3.hsl(122.4, 1, .5)"
Ligarius,"d3.hsl(129.6, 1, .5)"
Servant,"d3.hsl(136.8, 1, .5)"
Publius,"d3.hsl(144.0, 1, .5)"
Artemidorus,"d3.hsl(151.2, 1, .5)"
Popilius,"d3.hsl(158.4, 1, .5)"
Citizens,"d3.hsl(165.6, 1, .5)"
First citizen,"d3.hsl(172.8, 1, .5)"
Second citizen,"d3.hsl(180.0, 1, .5)"
Third citizen,"d3.hsl(187.2, 1, .5)"
All,"d3.hsl(194.4, 1, .5)"
Fourth citizen,"d3.hsl(201.6, 1, .5)"
Several citizens,"d3.hsl(208.8, 1, .5)"
Cinna the poet,"d3.hsl(216.0, 1, .5)"
Octavius,"d3.hsl(223.2, 1, .5)"
Lepidus,"d3.hsl(230.4, 1, .5)"
Lucilius,"d3.hsl(237.6, 1, .5)"
Pindarus,"d3.hsl(244.8, 1, .5)"
First soldier,"d3.hsl(252.0, 1, .5)"
Second soldier,"d3.hsl(259.2, 1, .5)"
Third soldier,"d3.hsl(266.4, 1, .5)"
Poet,"d3.hsl(273.6, 1, .5)"
Messala,"d3.hsl(280.8, 1, .5)"
Titinius,"d3.hsl(288.0, 1, .5)"
Varro,"d3.hsl(295.2, 1, .5)"
Ghost,"d3.hsl(302.4, 1, .5)"
Claudius,"d3.hsl(309.6, 1, .5)"
Messenger,"d3.hsl(316.8, 1, .5)"
Cato,"d3.hsl(324.0, 1, .5)"
Clitus,"d3.hsl(331.2, 1, .5)"
Dardanius,"d3.hsl(338.4, 1, .5)"
Volumnius,"d3.hsl(345.6, 1, .5)"
Strato,"d3.hsl(352.8, 1, .5)"
name,color
Flavius,"d3.hsl(0, 1, .5)"
