name,color
First witch,"d3.hsl(0, 1, .5)"
Second witch,"d3.hsl(8.78048780488, 1, .5)"
Third witch,"d3.hsl(17.5609756098, 1, .5)"
All,"d3.hsl(26.3414634146, 1, .5)"
Duncan,"d3.hsl(35.1219512195, 1, .5)"
Malcolm,"d3.hsl(43.9024390244, 1, .5)"
Sergeant,"d3.hsl(52.6829268293, 1, .5)"
Lennox,"d3.hsl(61.4634146341, 1, .5)"
Ross,"d3.hsl(70.243902439, 1, .5)"
Macbeth,"d3.hsl(79.0243902439, 1, .5)"
Banquo,"d3.hsl(87.8048780488, 1, .5)"
Angus,"d3.hsl(96.5853658537, 1, .5)"
Lady macbeth,"d3.hsl(105.365853659, 1, .5)"
Messenger,"d3.hsl(114.146341463, 1, .5)"
Fleance,"d3.hsl(122.926829268, 1, .5)"
Porter,"d3.hsl(131.707317073, 1, .5)"
Macduff,"d3.hsl(140.487804878, 1, .5)"
Donalbain,"d3.hsl(149.268292683, 1, .5)"
Old man,"d3.hsl(158.048780488, 1, .5)"
Attendant,"d3.hsl(166.829268293, 1, .5)"
First murderer,"d3.hsl(175.609756098, 1, .5)"
Second murderer,"d3.hsl(184.390243902, 1, .5)"
Both murderers,"d3.hsl(193.170731707, 1, .5)"
Servant,"d3.hsl(201.951219512, 1, .5)"
Third murderer,"d3.hsl(210.731707317, 1, .5)"
Lords,"d3.hsl(219.512195122, 1, .5)"
Hecate,"d3.hsl(228.292682927, 1, .5)"
Lord,"d3.hsl(237.073170732, 1, .5)"
First apparition,"d3.hsl(245.853658537, 1, .5)"
Second apparition,"d3.hsl(254.634146341, 1, .5)"
Third apparition,"d3.hsl(263.414634146, 1, .5)"
Lady macduff,"d3.hsl(272.195121951, 1, .5)"
Son,"d3.hsl(280.975609756, 1, .5)"
Doctor,"d3.hsl(289.756097561, 1, .5)"
Gentlewoman,"d3.hsl(298.536585366, 1, .5)"
Menteith,"d3.hsl(307.317073171, 1, .5)"
Caithness,"d3.hsl(316.097560976, 1, .5)"
Seyton,"d3.hsl(324.87804878, 1, .5)"
Siward,"d3.hsl(333.658536585, 1, .5)"
Soldiers,"d3.hsl(342.43902439, 1, .5)"
Young siward,"d3.hsl(351.219512195, 1, .5)"
