name,color
Roderigo,"d3.hsl(0, 1, .5)"
Iago,"d3.hsl(12.8571428571, 1, .5)"
Brabantio,"d3.hsl(25.7142857143, 1, .5)"
Othello,"d3.hsl(38.5714285714, 1, .5)"
Cassio,"d3.hsl(51.4285714286, 1, .5)"
First officer,"d3.hsl(64.2857142857, 1, .5)"
Duke of venice,"d3.hsl(77.1428571429, 1, .5)"
First senator,"d3.hsl(90.0, 1, .5)"
Second senator,"d3.hsl(102.857142857, 1, .5)"
Sailor,"d3.hsl(115.714285714, 1, .5)"
Messenger,"d3.hsl(128.571428571, 1, .5)"
Senator,"d3.hsl(141.428571429, 1, .5)"
Desdemona,"d3.hsl(154.285714286, 1, .5)"
Montano,"d3.hsl(167.142857143, 1, .5)"
First gentleman,"d3.hsl(180.0, 1, .5)"
Second gentleman,"d3.hsl(192.857142857, 1, .5)"
Third gentleman,"d3.hsl(205.714285714, 1, .5)"
Fourth gentleman,"d3.hsl(218.571428571, 1, .5)"
Second gentlemen,"d3.hsl(231.428571429, 1, .5)"
Emilia,"d3.hsl(244.285714286, 1, .5)"
Herald,"d3.hsl(257.142857143, 1, .5)"
All,"d3.hsl(270.0, 1, .5)"
Clown,"d3.hsl(282.857142857, 1, .5)"
First musician,"d3.hsl(295.714285714, 1, .5)"
Gentleman,"d3.hsl(308.571428571, 1, .5)"
Bianca,"d3.hsl(321.428571429, 1, .5)"
Lodovico,"d3.hsl(334.285714286, 1, .5)"
Gratiano,"d3.hsl(347.142857143, 1, .5)"
