name,color
Antiochus,"d3.hsl(0, 1, .5)"
Pericles,"d3.hsl(7.65957446809, 1, .5)"
Daughter,"d3.hsl(15.3191489362, 1, .5)"
Thaliard,"d3.hsl(22.9787234043, 1, .5)"
Messenger,"d3.hsl(30.6382978723, 1, .5)"
First lord,"d3.hsl(38.2978723404, 1, .5)"
Second lord,"d3.hsl(45.9574468085, 1, .5)"
Helicanus,"d3.hsl(53.6170212766, 1, .5)"
Cleon,"d3.hsl(61.2765957447, 1, .5)"
Dionyza,"d3.hsl(68.9361702128, 1, .5)"
Lord,"d3.hsl(76.5957446809, 1, .5)"
All,"d3.hsl(84.2553191489, 1, .5)"
First fisherman,"d3.hsl(91.914893617, 1, .5)"
Second fisherman,"d3.hsl(99.5744680851, 1, .5)"
Third fisherman,"d3.hsl(107.234042553, 1, .5)"
Simonides,"d3.hsl(114.893617021, 1, .5)"
Thaisa,"d3.hsl(122.553191489, 1, .5)"
Third lord,"d3.hsl(130.212765957, 1, .5)"
Knights,"d3.hsl(137.872340426, 1, .5)"
Marshal,"d3.hsl(145.531914894, 1, .5)"
First knight,"d3.hsl(153.191489362, 1, .5)"
Knights,"d3.hsl(160.85106383, 1, .5)"
Escanes,"d3.hsl(168.510638298, 1, .5)"
Second knight,"d3.hsl(176.170212766, 1, .5)"
Third knight,"d3.hsl(183.829787234, 1, .5)"
Both,"d3.hsl(191.489361702, 1, .5)"
Lychorida,"d3.hsl(199.14893617, 1, .5)"
First sailor,"d3.hsl(206.808510638, 1, .5)"
Second sailor,"d3.hsl(214.468085106, 1, .5)"
Cerimon,"d3.hsl(222.127659574, 1, .5)"
Philemon,"d3.hsl(229.787234043, 1, .5)"
Servant,"d3.hsl(237.446808511, 1, .5)"
First gentleman,"d3.hsl(245.106382979, 1, .5)"
Second gentleman,"d3.hsl(252.765957447, 1, .5)"
First servant,"d3.hsl(260.425531915, 1, .5)"
Leonine,"d3.hsl(268.085106383, 1, .5)"
Marina,"d3.hsl(275.744680851, 1, .5)"
First pirate,"d3.hsl(283.404255319, 1, .5)"
Second pirate,"d3.hsl(291.063829787, 1, .5)"
Third pirate,"d3.hsl(298.723404255, 1, .5)"
Pandar,"d3.hsl(306.382978723, 1, .5)"
Boult,"d3.hsl(314.042553191, 1, .5)"
Bawd,"d3.hsl(321.70212766, 1, .5)"
Gower,"d3.hsl(329.361702128, 1, .5)"
Lysimachus,"d3.hsl(337.021276596, 1, .5)"
Tyrian sailor,"d3.hsl(344.680851064, 1, .5)"
Diana,"d3.hsl(352.340425532, 1, .5)"
