name,color
Sampson,"d3.hsl(0, 1, .5)"
Gregory,"d3.hsl(10.2857142857, 1, .5)"
Abraham,"d3.hsl(20.5714285714, 1, .5)"
Benvolio,"d3.hsl(30.8571428571, 1, .5)"
Tybalt,"d3.hsl(41.1428571429, 1, .5)"
First citizen,"d3.hsl(51.4285714286, 1, .5)"
Capulet,"d3.hsl(61.7142857143, 1, .5)"
Lady capulet,"d3.hsl(72.0, 1, .5)"
Montague,"d3.hsl(82.2857142857, 1, .5)"
Lady montague,"d3.hsl(92.5714285714, 1, .5)"
Prince,"d3.hsl(102.857142857, 1, .5)"
Romeo,"d3.hsl(113.142857143, 1, .5)"
Paris,"d3.hsl(123.428571429, 1, .5)"
Servant,"d3.hsl(133.714285714, 1, .5)"
Nurse,"d3.hsl(144.0, 1, .5)"
Juliet,"d3.hsl(154.285714286, 1, .5)"
Mercutio,"d3.hsl(164.571428571, 1, .5)"
First servant,"d3.hsl(174.857142857, 1, .5)"
Second servant,"d3.hsl(185.142857143, 1, .5)"
Second capulet,"d3.hsl(195.428571429, 1, .5)"
Friar laurence,"d3.hsl(205.714285714, 1, .5)"
Peter,"d3.hsl(216.0, 1, .5)"
Nurse,"d3.hsl(226.285714286, 1, .5)"
Lady  capulet,"d3.hsl(236.571428571, 1, .5)"
First musician,"d3.hsl(246.857142857, 1, .5)"
Second musician,"d3.hsl(257.142857143, 1, .5)"
Musician,"d3.hsl(267.428571429, 1, .5)"
Third musician,"d3.hsl(277.714285714, 1, .5)"
Balthasar,"d3.hsl(288.0, 1, .5)"
Apothecary,"d3.hsl(298.285714286, 1, .5)"
Friar john,"d3.hsl(308.571428571, 1, .5)"
Page,"d3.hsl(318.857142857, 1, .5)"
First watchman,"d3.hsl(329.142857143, 1, .5)"
Second watchman,"d3.hsl(339.428571429, 1, .5)"
Third watchman,"d3.hsl(349.714285714, 1, .5)"
