name,color
Gloucester,"d3.hsl(0, 1, .5)"
Clarence,"d3.hsl(5.14285714286, 1, .5)"
Brakenbury,"d3.hsl(10.2857142857, 1, .5)"
Hastings,"d3.hsl(15.4285714286, 1, .5)"
Lady anne,"d3.hsl(20.5714285714, 1, .5)"
Gentleman,"d3.hsl(25.7142857143, 1, .5)"
Gentlemen,"d3.hsl(30.8571428571, 1, .5)"
Rivers,"d3.hsl(36.0, 1, .5)"
Grey,"d3.hsl(41.1428571429, 1, .5)"
Queen elizabeth,"d3.hsl(46.2857142857, 1, .5)"
Buckingham,"d3.hsl(51.4285714286, 1, .5)"
Derby,"d3.hsl(56.5714285714, 1, .5)"
Queen margaret,"d3.hsl(61.7142857143, 1, .5)"
Dorset,"d3.hsl(66.8571428571, 1, .5)"
Catesby,"d3.hsl(72.0, 1, .5)"
First murderer,"d3.hsl(77.1428571429, 1, .5)"
Second murderer,"d3.hsl(82.2857142857, 1, .5)"
Second murderer,"d3.hsl(87.4285714286, 1, .5)"
Both,"d3.hsl(92.5714285714, 1, .5)"
King edward iv,"d3.hsl(97.7142857143, 1, .5)"
Boy,"d3.hsl(102.857142857, 1, .5)"
Duchess of york,"d3.hsl(108.0, 1, .5)"
Girl,"d3.hsl(113.142857143, 1, .5)"
Children,"d3.hsl(118.285714286, 1, .5)"
First citizen,"d3.hsl(123.428571429, 1, .5)"
Second citizen,"d3.hsl(128.571428571, 1, .5)"
Third citizen,"d3.hsl(133.714285714, 1, .5)"
Archbishop of york,"d3.hsl(138.857142857, 1, .5)"
York,"d3.hsl(144.0, 1, .5)"
Messenger,"d3.hsl(149.142857143, 1, .5)"
Prince edward,"d3.hsl(154.285714286, 1, .5)"
Lord mayor,"d3.hsl(159.428571429, 1, .5)"
Cardinal,"d3.hsl(164.571428571, 1, .5)"
Stanley,"d3.hsl(169.714285714, 1, .5)"
Lord stanley,"d3.hsl(174.857142857, 1, .5)"
Pursuivant,"d3.hsl(180.0, 1, .5)"
Priest,"d3.hsl(185.142857143, 1, .5)"
Ratcliff,"d3.hsl(190.285714286, 1, .5)"
Vaughan,"d3.hsl(195.428571429, 1, .5)"
Bishop of ely,"d3.hsl(200.571428571, 1, .5)"
Lovel,"d3.hsl(205.714285714, 1, .5)"
Scrivener,"d3.hsl(210.857142857, 1, .5)"
Another,"d3.hsl(216.0, 1, .5)"
Citizens,"d3.hsl(221.142857143, 1, .5)"
King richard iii,"d3.hsl(226.285714286, 1, .5)"
Page,"d3.hsl(231.428571429, 1, .5)"
Tyrrel,"d3.hsl(236.571428571, 1, .5)"
Second messenger,"d3.hsl(241.714285714, 1, .5)"
Third messenger,"d3.hsl(246.857142857, 1, .5)"
Fourth messenger,"d3.hsl(252.0, 1, .5)"
Christopher,"d3.hsl(257.142857143, 1, .5)"
Sheriff,"d3.hsl(262.285714286, 1, .5)"
Richmond,"d3.hsl(267.428571429, 1, .5)"
Oxford,"d3.hsl(272.571428571, 1, .5)"
Herbert,"d3.hsl(277.714285714, 1, .5)"
Blunt,"d3.hsl(282.857142857, 1, .5)"
Surrey,"d3.hsl(288.0, 1, .5)"
Norfolk,"d3.hsl(293.142857143, 1, .5)"
Ghost of prince edward,"d3.hsl(298.285714286, 1, .5)"
Ghost of king henry vi,"d3.hsl(303.428571429, 1, .5)"
Ghost of clarence,"d3.hsl(308.571428571, 1, .5)"
Ghost of rivers,"d3.hsl(313.714285714, 1, .5)"
Ghost of grey,"d3.hsl(318.857142857, 1, .5)"
Ghost of vaughan,"d3.hsl(324.0, 1, .5)"
All,"d3.hsl(329.142857143, 1, .5)"
Ghost of hastings,"d3.hsl(334.285714286, 1, .5)"
Ghosts of young princes,"d3.hsl(339.428571429, 1, .5)"
Ghost of lady anne,"d3.hsl(344.571428571, 1, .5)"
Ghost of buckingham,"d3.hsl(349.714285714, 1, .5)"
Lords,"d3.hsl(354.857142857, 1, .5)"
