name,color
Duke orsino,"d3.hsl(0, 1, .5)"
Curio,"d3.hsl(20.0, 1, .5)"
Valentine,"d3.hsl(40.0, 1, .5)"
Viola,"d3.hsl(60.0, 1, .5)"
Captain,"d3.hsl(80.0, 1, .5)"
Sir toby belch,"d3.hsl(100.0, 1, .5)"
Maria,"d3.hsl(120.0, 1, .5)"
Sir andrew,"d3.hsl(140.0, 1, .5)"
Clown,"d3.hsl(160.0, 1, .5)"
Olivia,"d3.hsl(180.0, 1, .5)"
Malvolio,"d3.hsl(200.0, 1, .5)"
Antonio,"d3.hsl(220.0, 1, .5)"
Sebastian,"d3.hsl(240.0, 1, .5)"
Fabian,"d3.hsl(260.0, 1, .5)"
Servant,"d3.hsl(280.0, 1, .5)"
First officer,"d3.hsl(300.0, 1, .5)"
Second officer,"d3.hsl(320.0, 1, .5)"
Priest,"d3.hsl(340.0, 1, .5)"
