name,color
Sly,"d3.hsl(0, 1, .5)"
Hostess,"d3.hsl(9.47368421053, 1, .5)"
Lord,"d3.hsl(18.9473684211, 1, .5)"
First huntsman,"d3.hsl(28.4210526316, 1, .5)"
Second huntsman,"d3.hsl(37.8947368421, 1, .5)"
Servant,"d3.hsl(47.3684210526, 1, .5)"
Players,"d3.hsl(56.8421052632, 1, .5)"
A player,"d3.hsl(66.3157894737, 1, .5)"
First servant,"d3.hsl(75.7894736842, 1, .5)"
Second servant,"d3.hsl(85.2631578947, 1, .5)"
Third servant,"d3.hsl(94.7368421053, 1, .5)"
All,"d3.hsl(104.210526316, 1, .5)"
Page,"d3.hsl(113.684210526, 1, .5)"
Messenger,"d3.hsl(123.157894737, 1, .5)"
Lucentio,"d3.hsl(132.631578947, 1, .5)"
Tranio,"d3.hsl(142.105263158, 1, .5)"
Baptista,"d3.hsl(151.578947368, 1, .5)"
Gremio,"d3.hsl(161.052631579, 1, .5)"
Katharina,"d3.hsl(170.526315789, 1, .5)"
Hortensio,"d3.hsl(180.0, 1, .5)"
Hortensia,"d3.hsl(189.473684211, 1, .5)"
Bianca,"d3.hsl(198.947368421, 1, .5)"
Biondello,"d3.hsl(208.421052632, 1, .5)"
Petruchio,"d3.hsl(217.894736842, 1, .5)"
Grumio,"d3.hsl(227.368421053, 1, .5)"
Katarina,"d3.hsl(236.842105263, 1, .5)"
Curtis,"d3.hsl(246.315789474, 1, .5)"
Nathaniel,"d3.hsl(255.789473684, 1, .5)"
Philip,"d3.hsl(265.263157895, 1, .5)"
Joseph,"d3.hsl(274.736842105, 1, .5)"
Nicholas,"d3.hsl(284.210526316, 1, .5)"
All serving-men,"d3.hsl(293.684210526, 1, .5)"
Peter,"d3.hsl(303.157894737, 1, .5)"
Pedant,"d3.hsl(312.631578947, 1, .5)"
Haberdasher,"d3.hsl(322.105263158, 1, .5)"
Tailor,"d3.hsl(331.578947368, 1, .5)"
Vincentio,"d3.hsl(341.052631579, 1, .5)"
Widow,"d3.hsl(350.526315789, 1, .5)"
