name,color
Master,"d3.hsl(0, 1, .5)"
Boatswain,"d3.hsl(18.9473684211, 1, .5)"
Alonso,"d3.hsl(37.8947368421, 1, .5)"
Antonio,"d3.hsl(56.8421052632, 1, .5)"
Gonzalo,"d3.hsl(75.7894736842, 1, .5)"
Sebastian,"d3.hsl(94.7368421053, 1, .5)"
Mariners,"d3.hsl(113.684210526, 1, .5)"
Miranda,"d3.hsl(132.631578947, 1, .5)"
Prospero,"d3.hsl(151.578947368, 1, .5)"
Ariel,"d3.hsl(170.526315789, 1, .5)"
Caliban,"d3.hsl(189.473684211, 1, .5)"
Ferdinand,"d3.hsl(208.421052632, 1, .5)"
Adrian,"d3.hsl(227.368421053, 1, .5)"
Francisco,"d3.hsl(246.315789474, 1, .5)"
Trinculo,"d3.hsl(265.263157895, 1, .5)"
Stephano,"d3.hsl(284.210526316, 1, .5)"
Iris,"d3.hsl(303.157894737, 1, .5)"
Ceres,"d3.hsl(322.105263158, 1, .5)"
Juno,"d3.hsl(341.052631579, 1, .5)"
