name,color
Poet,"d3.hsl(0, 1, .5)"
Painter,"d3.hsl(5.8064516129, 1, .5)"
Merchant,"d3.hsl(11.6129032258, 1, .5)"
Jeweller,"d3.hsl(17.4193548387, 1, .5)"
Jeweller:,"d3.hsl(23.2258064516, 1, .5)"
Timon,"d3.hsl(29.0322580645, 1, .5)"
Messenger,"d3.hsl(34.8387096774, 1, .5)"
Old athenian,"d3.hsl(40.6451612903, 1, .5)"
Lucilius,"d3.hsl(46.4516129032, 1, .5)"
Apemantus,"d3.hsl(52.2580645161, 1, .5)"
Alcibiades,"d3.hsl(58.064516129, 1, .5)"
First lord,"d3.hsl(63.8709677419, 1, .5)"
Second lord,"d3.hsl(69.6774193548, 1, .5)"
Ventidius,"d3.hsl(75.4838709677, 1, .5)"
Third lord,"d3.hsl(81.2903225806, 1, .5)"
Servant,"d3.hsl(87.0967741935, 1, .5)"
Cupid,"d3.hsl(92.9032258065, 1, .5)"
First lady,"d3.hsl(98.7096774194, 1, .5)"
All ladies,"d3.hsl(104.516129032, 1, .5)"
Flavius,"d3.hsl(110.322580645, 1, .5)"
All,"d3.hsl(116.129032258, 1, .5)"
Second servant,"d3.hsl(121.935483871, 1, .5)"
Third servant,"d3.hsl(127.741935484, 1, .5)"
All lords,"d3.hsl(133.548387097, 1, .5)"
Senator,"d3.hsl(139.35483871, 1, .5)"
Caphis,"d3.hsl(145.161290323, 1, .5)"
Varro's servant,"d3.hsl(150.967741935, 1, .5)"
Isidore's servant,"d3.hsl(156.774193548, 1, .5)"
All servants,"d3.hsl(162.580645161, 1, .5)"
Fool,"d3.hsl(168.387096774, 1, .5)"
Page,"d3.hsl(174.193548387, 1, .5)"
Servants,"d3.hsl(180.0, 1, .5)"
Flaminius,"d3.hsl(185.806451613, 1, .5)"
Lucullus,"d3.hsl(191.612903226, 1, .5)"
First stranger,"d3.hsl(197.419354839, 1, .5)"
Second stranger,"d3.hsl(203.225806452, 1, .5)"
Servilius,"d3.hsl(209.032258065, 1, .5)"
Third stranger,"d3.hsl(214.838709677, 1, .5)"
Sempronius,"d3.hsl(220.64516129, 1, .5)"
Varro's first servant,"d3.hsl(226.451612903, 1, .5)"
Titus,"d3.hsl(232.258064516, 1, .5)"
Hortensius,"d3.hsl(238.064516129, 1, .5)"
Lucilius' servant,"d3.hsl(243.870967742, 1, .5)"
Philotus,"d3.hsl(249.677419355, 1, .5)"
Varro's second servant,"d3.hsl(255.483870968, 1, .5)"
Both varro's servants,"d3.hsl(261.290322581, 1, .5)"
First senator,"d3.hsl(267.096774194, 1, .5)"
Second senator,"d3.hsl(272.903225806, 1, .5)"
Third senator,"d3.hsl(278.709677419, 1, .5)"
Some speak,"d3.hsl(284.516129032, 1, .5)"
Some others,"d3.hsl(290.322580645, 1, .5)"
Fourth lord,"d3.hsl(296.129032258, 1, .5)"
First servant,"d3.hsl(301.935483871, 1, .5)"
Phrynia,"d3.hsl(307.741935484, 1, .5)"
Timandra,"d3.hsl(313.548387097, 1, .5)"
First bandit,"d3.hsl(319.35483871, 1, .5)"
Second bandit,"d3.hsl(325.161290323, 1, .5)"
Third bandit,"d3.hsl(330.967741935, 1, .5)"
Banditti,"d3.hsl(336.774193548, 1, .5)"
Both,"d3.hsl(342.580645161, 1, .5)"
Soldier,"d3.hsl(348.387096774, 1, .5)"
First senator ,"d3.hsl(354.193548387, 1, .5)"
