name,color
Troilus,"d3.hsl(0, 1, .5)"
Pandarus,"d3.hsl(12.8571428571, 1, .5)"
Aeneas,"d3.hsl(25.7142857143, 1, .5)"
Cressida,"d3.hsl(38.5714285714, 1, .5)"
Alexander,"d3.hsl(51.4285714286, 1, .5)"
Boy,"d3.hsl(64.2857142857, 1, .5)"
Agamemnon,"d3.hsl(77.1428571429, 1, .5)"
Nestor,"d3.hsl(90.0, 1, .5)"
Ulysses,"d3.hsl(102.857142857, 1, .5)"
Menelaus,"d3.hsl(115.714285714, 1, .5)"
Ajax,"d3.hsl(128.571428571, 1, .5)"
Thersites,"d3.hsl(141.428571429, 1, .5)"
Achilles,"d3.hsl(154.285714286, 1, .5)"
Patroclus,"d3.hsl(167.142857143, 1, .5)"
Priam,"d3.hsl(180.0, 1, .5)"
Hector,"d3.hsl(192.857142857, 1, .5)"
Helenus,"d3.hsl(205.714285714, 1, .5)"
Cassandra,"d3.hsl(218.571428571, 1, .5)"
Paris,"d3.hsl(231.428571429, 1, .5)"
Diomedes,"d3.hsl(244.285714286, 1, .5)"
Servant,"d3.hsl(257.142857143, 1, .5)"
Helen,"d3.hsl(270.0, 1, .5)"
Calchas,"d3.hsl(282.857142857, 1, .5)"
Deiphobus,"d3.hsl(295.714285714, 1, .5)"
All,"d3.hsl(308.571428571, 1, .5)"
Andromache,"d3.hsl(321.428571429, 1, .5)"
Margarelon,"d3.hsl(334.285714286, 1, .5)"
Myrmidons,"d3.hsl(347.142857143, 1, .5)"
