name,color
Valentine,"d3.hsl(0, 1, .5)"
Proteus,"d3.hsl(21.1764705882, 1, .5)"
Speed,"d3.hsl(42.3529411765, 1, .5)"
Julia,"d3.hsl(63.5294117647, 1, .5)"
Lucetta,"d3.hsl(84.7058823529, 1, .5)"
Antonio,"d3.hsl(105.882352941, 1, .5)"
Panthino,"d3.hsl(127.058823529, 1, .5)"
Silvia,"d3.hsl(148.235294118, 1, .5)"
Launce,"d3.hsl(169.411764706, 1, .5)"
Thurio,"d3.hsl(190.588235294, 1, .5)"
Duke,"d3.hsl(211.764705882, 1, .5)"
First outlaw,"d3.hsl(232.941176471, 1, .5)"
Second outlaw,"d3.hsl(254.117647059, 1, .5)"
Third outlaw,"d3.hsl(275.294117647, 1, .5)"
Host,"d3.hsl(296.470588235, 1, .5)"
Eglamour,"d3.hsl(317.647058824, 1, .5)"
Outlaws,"d3.hsl(338.823529412, 1, .5)"
