character	scene	value
1	1	4
2	1	3
3	1	5
4	1	17
5	1	11
6	1	3
7	1	10
8	1	13
9	1	80
10	1	43
11	1	18
12	1	42
13	1	44
3	2	21
6	2	7
14	2	1
8	2	7
15	2	4
13	2	36
16	3	23
17	3	7
11	3	25
12	4	56
5	4	12
13	4	106
11	4	11
8	5	37
15	5	23
3	5	61
10	5	78
1	6	12
3	6	20
12	6	23
5	6	2
8	6	35
15	6	6
9	6	22
10	6	5
18	6	7
11	6	45
8	7	19
18	7	12
3	7	12
10	7	12
3	8	7
11	8	8
1	9	3
12	9	6
19	9	28
20	9	23
9	9	81
4	9	3
10	10	32
8	10	22
18	10	3
3	10	21
11	10	28
21	11	16
9	11	66
22	11	19
23	12	53
24	12	77
25	12	2
3	12	74
26	12	2
1	13	7
12	13	82
27	13	71
28	13	7
10	13	83
29	13	17
30	13	5
25	14	22
3	14	18
6	14	5
24	14	65
31	14	8
32	14	1
30	14	27
33	14	8
25	15	1
10	15	31
34	16	8
24	16	12
35	16	13
36	16	8
10	16	31
29	16	2
32	16	1
31	17	28
37	17	7
24	18	9
38	18	2
3	18	18
33	18	1
25	19	9
39	19	2
9	19	49
10	19	33
29	19	2
30	19	7
32	19	4
40	20	1
3	20	9
24	20	50
41	20	15
42	20	3
43	20	6
33	20	13
25	21	2
3	21	4
6	21	1
24	21	11
9	21	21
10	21	23
29	21	2
4	21	3
25	22	21
3	22	21
24	22	33
44	22	2
6	22	1
45	22	2
10	22	31
29	22	2
32	22	1
46	22	8
29	23	2
24	23	5
32	23	11
10	23	35
24	24	15
25	24	3
3	24	4
1	25	12
12	25	52
24	25	6
15	25	2
29	25	9
32	25	4
1	26	11
25	26	7
3	26	12
12	26	37
24	26	31
29	26	1
32	26	1
9	27	49
3	27	43
24	28	39
25	28	6
3	28	5
