character	scene	value
2	1	5.0
3	1	12.0
5	1	29.0
4	1	38.0
1	1	19.0
6	1	1.0
2	2	9.0
7	2	80.0
9	2	6.0
8	2	7.0
4	3	28.0
1	3	41.0
11	3	24.0
10	3	10.0
7	4	37.0
9	4	2.0
12	4	1.0
2	4	5.0
3	4	15.0
5	4	10.0
4	4	31.0
8	4	4.0
1	5	46.0
11	5	55.0
7	6	26.0
13	6	1.0
9	6	1.0
14	6	1.0
2	6	13.0
3	6	31.0
5	6	20.0
4	6	11.0
8	6	1.0
5	7	42.0
4	7	20.0
11	7	40.0
2	8	42.0
5	8	10.0
3	8	29.0
4	8	21.0
15	9	49.0
9	9	30.0
8	9	23.0
16	10	9.0
1	10	37.0
17	10	9.0
11	10	17.0
4	10	31.0
2	11	58.0
15	11	43.0
1	12	58.0
10	12	43.0
21	13	1.0
20	13	18.0
19	13	19.0
5	13	1.0
4	13	27.0
18	13	36.0
2	14	29.0
5	14	15.0
9	14	31.0
8	14	27.0
4	15	69.0
18	15	32.0
5	16	43.0
13	16	2.0
9	16	39.0
22	16	16.0
23	16	3.0
2	17	40.0
19	17	61.0
9	18	19.0
24	18	2.0
5	18	31.0
2	18	11.0
8	18	20.0
22	18	20.0
19	19	8.0
4	19	85.0
18	19	8.0
3	20	48.0
1	20	17.0
11	20	36.0
4	21	75.0
25	21	23.0
18	21	3.0
5	22	32.0
3	22	36.0
11	22	34.0
7	23	42.0
4	23	4.0
2	23	17.0
3	23	9.0
25	23	4.0
5	23	5.0
19	23	17.0
1	23	5.0
18	23	1.0
