character	scene	value
1	1	2
2	1	8
3	1	21
4	1	19
5	1	3
2	2	2
4	2	48
6	2	32
7	2	13
8	2	67
9	2	25
6	3	48
9	3	26
8	3	49
10	4	38
11	4	2
12	4	2
13	4	27
10	5	3
11	5	9
9	5	9
4	6	20
5	6	53
14	7	40
6	7	13
15	7	17
7	7	8
8	7	3
16	8	9
12	8	19
17	8	18
4	9	4
5	9	2
10	10	3
13	10	59
12	10	21
4	10	30
5	10	1
17	10	97
3	11	1
9	11	17
8	12	25
4	12	74
14	12	22
6	12	22
17	12	13
7	12	71
18	13	7
19	13	5
7	13	30
17	13	3
14	14	17
6	14	10
8	14	13
15	15	29
20	15	105
6	16	2
8	16	5
4	16	76
17	16	16
10	17	3
11	17	13
17	17	3
6	18	6
3	18	107
15	18	50
8	18	20
18	19	10
21	19	9
7	19	17
14	19	1
15	20	12
3	20	4
4	20	44
20	20	5
18	21	3
22	21	3
23	21	4
7	21	6
24	21	25
13	22	38
25	22	38
26	22	15
4	22	18
6	22	2
20	22	13
17	22	17
15	22	10
7	22	13
