character	scene	value
1	1	1
2	1	20
3	1	1
4	1	16
5	1	17
6	1	30
7	1	33
8	1	48
4	2	7
9	2	4
10	3	12
11	3	6
3	3	13
12	4	7
10	4	2
1	4	6
6	4	13
2	4	38
3	4	19
8	4	32
13	4	6
4	4	22
14	4	4
7	4	34
15	4	3
9	4	3
10	5	10
3	5	10
16	6	2
2	6	3
6	6	23
4	6	27
14	6	27
7	6	13
8	6	35
13	7	2
12	7	21
1	7	103
3	8	14
4	8	3
8	8	22
6	8	18
7	8	7
17	9	25
18	9	8
10	9	18
19	9	3
20	9	9
11	9	12
21	9	8
13	10	23
12	10	4
2	10	12
1	10	14
5	11	1
4	11	13
18	11	6
17	11	18
1	12	17
2	12	34
6	12	55
4	12	62
3	12	8
7	12	41
22	12	69
8	12	9
23	13	1
17	13	25
10	13	3
18	13	5
20	13	4
24	13	9
21	13	2
11	13	5
17	14	10
10	14	13
18	14	2
6	14	43
8	14	39
4	14	97
7	14	10
9	14	34
13	15	5
12	15	2
2	15	11
7	15	26
25	16	23
8	16	7
6	16	8
1	17	10
2	17	7
6	17	16
8	17	6
4	17	30
7	17	41
22	17	10
9	17	2
