character	scene	value
3	1	37.0
2	1	31.0
5	1	8.0
4	1	2.0
1	1	25.0
3	2	30.0
9	2	22.0
14	2	2.0
2	2	4.0
6	2	20.0
12	2	1.0
11	2	7.0
7	2	5.0
10	2	6.0
13	2	1.0
8	2	7.0
3	3	38.0
2	3	57.0
6	3	7.0
15	4	68.0
11	4	18.0
16	4	16.0
2	5	66.0
6	5	9.0
17	5	7.0
7	5	19.0
18	6	71.0
21	6	7.0
20	6	13.0
19	6	10.0
3	7	30.0
9	7	27.0
22	7	6.0
23	7	11.0
15	7	20.0
16	7	10.0
3	8	55.0
8	8	38.0
24	8	7.0
15	8	3.0
22	9	27.0
23	9	20.0
16	9	54.0
25	10	1.0
2	10	75.0
6	10	7.0
11	10	18.0
17	10	1.0
3	11	10.0
9	11	24.0
15	11	10.0
16	11	4.0
18	11	40.0
20	11	14.0
3	12	19.0
9	12	15.0
15	12	10.0
16	12	7.0
18	12	20.0
26	12	6.0
27	12	5.0
20	12	22.0
29	13	29.0
28	13	72.0
3	14	24.0
9	14	31.0
23	14	16.0
15	14	24.0
16	14	3.0
24	14	4.0
2	15	54.0
6	15	14.0
11	15	28.0
7	15	7.0
3	16	61.0
24	16	40.0
9	17	36.0
30	17	64.0
22	18	9.0
24	18	13.0
15	18	75.0
23	18	5.0
3	19	23.0
9	19	31.0
2	19	15.0
31	19	16.0
32	19	13.0
11	19	3.0
15	20	84.0
33	20	17.0
3	21	100.0
9	22	34.0
34	22	47.0
31	22	20.0
3	23	72.0
35	23	2.0
2	23	10.0
6	23	3.0
10	23	5.0
30	23	10.0
37	24	33.0
15	24	52.0
38	24	5.0
36	24	12.0
3	25	48.0
9	25	19.0
2	25	20.0
12	25	1.0
37	25	1.0
4	25	1.0
38	25	13.0
22	26	28.0
15	26	73.0
3	27	75.0
35	27	2.0
9	27	21.0
2	27	4.0
35	28	9.0
41	28	18.0
39	28	36.0
42	28	15.0
40	28	24.0
3	29	67.0
35	29	3.0
2	29	19.0
6	29	3.0
32	29	7.0
43	29	3.0
30	29	3.0
3	30	44.0
32	30	48.0
30	30	8.0
32	31	24.0
9	31	47.0
15	31	24.0
11	31	5.0
23	31	3.0
3	32	24.0
30	32	10.0
34	32	53.0
23	32	15.0
3	33	89.0
2	33	12.0
9	34	39.0
41	34	16.0
39	34	32.0
40	34	14.0
3	35	90.0
34	35	10.0
15	36	100.0
3	37	86.0
2	37	2.0
34	37	13.0
2	38	70.0
6	38	31.0
3	39	65.0
35	39	2.0
17	39	8.0
45	39	2.0
48	39	10.0
47	39	3.0
44	39	3.0
46	39	1.0
30	39	11.0
3	40	22.0
35	40	1.0
2	40	68.0
6	40	5.0
48	40	3.0
10	40	3.0
35	41	2.0
22	41	5.0
50	41	2.0
49	41	7.0
15	41	61.0
47	41	19.0
23	41	7.0
36	41	2.0
15	42	14.0
52	42	2.0
50	42	8.0
2	42	51.0
6	42	5.0
54	42	7.0
45	42	1.0
53	42	1.0
51	42	1.0
44	42	4.0
10	42	2.0
36	42	10.0
