character	scene	value
1	1	90
2	1	12
3	1	3
4	1	78
5	1	28
6	1	7
7	1	19
8	1	3
9	1	2
10	1	11
11	1	16
12	2	7
6	2	3
13	2	27
10	2	7
14	3	19
15	3	16
16	3	29
17	3	1
18	4	8
6	4	3
19	4	1
4	4	40
3	4	24
9	4	2
10	4	11
4	5	19
20	5	2
3	5	12
21	5	1
22	5	1
4	6	50
8	6	46
9	6	9
23	7	1
3	7	7
4	8	10
13	8	13
6	9	1
4	9	26
3	9	5
8	9	46
24	9	15
25	10	6
13	10	27
26	11	4
1	11	42
8	11	5
14	11	1
15	11	3
6	11	1
27	11	12
16	11	30
9	11	7
24	11	14
7	11	52
11	11	29
28	12	3
1	12	35
8	12	44
10	12	13
29	12	8
30	12	2
31	12	4
24	12	22
7	12	12
11	12	14
6	13	6
26	13	2
1	13	12
2	13	5
32	13	1
33	13	1
5	13	15
34	13	3
35	13	1
11	13	55
7	13	55
36	13	25
24	13	49
1	14	81
8	14	24
37	14	2
38	14	13
3	14	12
6	14	1
10	14	12
39	14	5
40	14	1
2	14	3
24	14	146
12	14	5
7	14	44
11	14	64
41	15	1
1	15	18
8	15	9
16	15	80
10	15	3
24	15	57
42	16	1
1	16	14
8	16	10
43	16	9
38	16	9
7	16	27
11	16	60
10	16	1
24	16	44
8	17	6
15	17	1
1	17	5
16	17	7
24	17	42
1	18	13
16	18	32
7	18	11
15	18	2
11	18	14
44	19	13
45	19	12
46	20	4
24	20	27
26	21	2
47	21	22
48	21	21
49	21	2
50	21	2
51	21	2
13	21	61
52	21	21
24	21	54
42	22	1
1	22	62
2	22	5
43	22	6
5	22	3
53	22	1
54	22	4
55	22	7
8	22	36
9	22	11
7	22	22
36	22	1
11	22	38
23	23	9
13	23	47
1	24	34
8	24	31
7	24	4
11	24	11
56	25	17
57	25	8
1	25	28
13	25	2
24	25	14
58	26	2
15	26	6
13	26	4
16	26	99
24	26	115
55	27	13
1	27	22
11	27	11
59	28	6
6	28	3
60	29	15
61	29	4
62	29	1
63	29	2
64	29	2
65	29	2
66	29	12
67	29	7
68	29	8
69	29	12
13	29	89
24	29	32
