character	scene	value
6	1	10.0
5	1	21.0
7	1	5.0
3	1	16.0
4	1	14.0
1	1	31.0
2	1	6.0
10	2	42.0
9	2	24.0
8	2	36.0
7	3	28.0
11	3	5.0
5	3	69.0
4	4	31.0
12	4	46.0
14	4	14.0
13	4	11.0
16	5	26.0
15	5	1.0
3	5	70.0
7	5	3.0
7	6	2.0
12	6	64.0
5	6	35.0
10	7	48.0
9	7	43.0
8	7	10.0
12	8	78.0
11	8	4.0
5	8	19.0
10	9	1.0
6	9	9.0
5	9	31.0
7	9	1.0
3	9	6.0
9	9	45.0
17	9	2.0
8	9	3.0
11	9	6.0
4	10	51.0
12	10	38.0
13	10	13.0
4	11	100.0
9	12	24.0
19	12	2.0
3	12	23.0
6	12	33.0
18	12	20.0
7	13	33.0
5	13	68.0
20	14	81.0
21	14	10.0
22	14	10.0
7	15	39.0
5	15	62.0
9	16	45.0
6	16	16.0
7	16	15.0
3	16	19.0
23	16	2.0
18	16	6.0
20	17	27.0
21	17	9.0
22	17	13.0
5	17	53.0
24	18	79.0
25	18	16.0
26	18	6.0
9	19	100.0
9	20	5.0
5	20	19.0
22	20	19.0
28	20	2.0
20	20	23.0
21	20	24.0
27	20	3.0
18	20	9.0
7	21	31.0
6	21	40.0
8	21	31.0
20	22	43.0
21	22	29.0
22	22	29.0
4	23	100.0
20	24	15.0
21	24	5.0
12	24	53.0
18	24	24.0
22	24	5.0
4	25	84.0
29	25	7.0
31	25	7.0
30	25	4.0
32	26	22.0
39	26	1.0
37	26	4.0
33	26	1.0
4	26	18.0
36	26	7.0
38	26	11.0
40	26	14.0
35	26	6.0
17	26	1.0
34	26	20.0
15	27	1.0
6	27	31.0
5	27	7.0
7	27	5.0
12	27	14.0
4	27	8.0
22	27	2.0
28	27	7.0
20	27	14.0
21	27	3.0
16	27	9.0
18	27	5.0
