character	scene	value
2	1	30.0
3	1	1.0
1	1	70.0
4	2	15.0
5	2	52.0
6	2	2.0
7	2	32.0
8	3	48.0
9	3	25.0
7	3	28.0
9	4	4.0
5	4	38.0
6	4	29.0
8	4	30.0
14	5	3.0
10	5	7.0
6	5	17.0
13	5	7.0
12	5	19.0
8	5	3.0
11	5	26.0
7	5	23.0
6	6	30.0
14	6	6.0
5	6	45.0
9	6	20.0
14	7	31.0
7	7	1.0
6	7	15.0
15	7	10.0
16	7	3.0
11	7	43.0
6	8	40.0
8	8	48.0
9	8	14.0
17	9	28.0
5	9	27.0
6	9	46.0
7	10	24.0
6	10	5.0
18	10	8.0
17	10	4.0
5	10	4.0
8	10	22.0
9	10	4.0
11	10	27.0
16	10	7.0
14	11	8.0
2	11	11.0
7	11	5.0
6	11	3.0
20	11	4.0
19	11	18.0
1	11	8.0
17	11	1.0
5	11	6.0
15	11	6.0
8	11	18.0
9	11	2.0
11	11	17.0
