character	scene	value
4	1	1.0
9	1	22.0
1	1	8.0
10	1	3.0
6	1	12.0
7	1	12.0
3	1	4.0
8	1	6.0
11	1	3.0
2	1	10.0
5	1	24.0
12	2	48.0
14	2	27.0
13	2	3.0
5	2	24.0
4	3	1.0
5	3	11.0
15	3	4.0
16	3	3.0
1	3	21.0
12	3	4.0
10	3	4.0
6	3	2.0
9	3	7.0
3	3	27.0
8	3	4.0
18	3	6.0
11	3	3.0
17	3	7.0
2	3	5.0
7	3	1.0
21	4	5.0
19	4	28.0
12	4	5.0
10	4	10.0
9	4	40.0
20	4	11.0
14	4	4.0
25	5	1.0
24	5	4.0
26	5	1.0
1	5	7.0
10	5	6.0
6	5	14.0
22	5	2.0
3	5	5.0
23	5	12.0
2	5	17.0
5	5	36.0
27	6	2.0
8	6	20.0
9	6	70.0
7	6	10.0
29	7	1.0
31	7	1.0
28	7	2.0
1	7	2.0
12	7	1.0
32	7	2.0
7	7	4.0
9	7	12.0
3	7	12.0
18	7	9.0
30	7	2.0
17	7	11.0
2	7	27.0
5	7	14.0
35	8	2.0
36	8	4.0
34	8	1.0
12	8	51.0
33	8	1.0
37	8	7.0
5	8	37.0
38	9	2.0
1	9	17.0
10	9	2.0
6	9	8.0
9	9	25.0
3	9	18.0
11	9	2.0
2	9	12.0
5	9	19.0
40	10	1.0
43	10	3.0
41	10	1.0
42	10	1.0
1	10	24.0
6	10	1.0
7	10	7.0
3	10	31.0
8	10	16.0
11	10	1.0
39	10	1.0
2	10	19.0
7	11	3.0
6	11	42.0
2	11	48.0
8	11	9.0
49	12	13.0
1	12	39.0
47	12	1.0
46	12	1.0
45	12	5.0
44	12	43.0
48	12	1.0
4	13	3.0
58	13	9.0
51	13	8.0
57	13	3.0
50	13	8.0
53	13	13.0
54	13	7.0
56	13	2.0
59	13	4.0
52	13	48.0
55	13	1.0
53	14	23.0
52	14	78.0
10	15	10.0
60	15	12.0
13	15	27.0
2	15	29.0
3	15	24.0
62	16	34.0
61	16	67.0
63	17	7.0
53	17	14.0
54	17	14.0
52	17	67.0
4	18	2.0
51	18	4.0
50	18	1.0
53	18	7.0
54	18	2.0
60	18	33.0
13	18	4.0
52	18	51.0
10	19	15.0
4	19	5.0
52	19	42.0
64	19	40.0
4	20	3.0
10	20	7.0
13	20	17.0
11	20	7.0
2	20	64.0
64	20	7.0
65	21	50.0
52	21	50.0
65	22	5.0
67	22	5.0
7	22	7.0
68	22	2.0
10	22	8.0
66	22	1.0
9	22	42.0
3	22	5.0
8	22	4.0
11	22	2.0
2	22	16.0
64	22	10.0
68	23	48.0
67	23	7.0
9	23	15.0
3	23	13.0
8	23	14.0
2	23	2.0
64	23	6.0
8	24	18.0
9	24	36.0
67	24	24.0
7	24	24.0
