character	scene	value
1	1	36
2	1	104
3	1	9
4	1	43
5	2	97
2	2	46
6	2	3
4	2	3
7	2	7
8	2	4
9	2	96
1	2	1
10	2	1
11	2	9
12	2	1
13	3	20
6	3	67
7	3	51
4	4	9
2	4	27
9	4	67
14	5	79
4	5	8
2	5	14
9	5	94
13	6	27
6	6	83
15	6	13
5	7	42
16	7	18
17	7	26
11	7	21
10	7	22
6	7	116
18	7	46
9	7	156
5	8	21
16	8	5
17	8	12
13	8	46
11	8	8
9	8	48
6	8	28
5	9	5
16	9	12
11	9	3
19	9	43
17	9	9
13	9	17
2	9	10
9	9	150
20	9	2
21	9	7
22	9	31
23	9	3
6	9	12
5	10	44
16	10	4
6	10	9
17	10	16
9	10	30
14	11	6
6	11	6
11	11	47
9	11	171
5	12	37
11	12	13
16	13	1
17	13	7
9	13	14
5	14	46
17	14	5
9	14	15
24	15	11
25	15	9
17	15	1
9	15	49
5	16	73
8	16	2
11	16	17
13	16	64
7	16	44
2	16	2
26	16	12
27	16	12
28	17	2
2	17	13
26	17	1
5	18	129
7	18	42
27	18	6
11	18	21
5	19	10
8	19	1
2	19	11
29	19	13
7	19	26
30	19	57
9	19	73
31	19	15
11	19	11
5	20	51
8	20	1
2	20	51
32	20	6
7	20	29
25	20	19
9	20	158
33	20	32
34	20	3
11	20	11
