character	scene	value
1	1	30
2	1	7
3	1	1
4	1	29
5	2	1
6	2	23
7	2	144
8	2	38
9	2	3
10	2	6
11	2	61
12	3	15
6	3	57
13	3	9
7	3	87
14	4	52
6	4	12
12	4	3
15	4	15
7	4	37
16	4	19
17	4	4
18	4	11
11	4	186
19	4	8
5	5	24
20	5	6
21	5	1
17	5	2
8	5	75
18	5	23
10	5	5
11	5	1
22	6	13
9	7	13
14	7	26
16	7	7
6	8	5
12	8	4
23	8	1
7	8	52
22	8	3
11	8	84
17	8	3
21	8	1
18	8	6
9	8	1
10	8	94
8	8	49
20	8	6
19	8	8
24	9	15
20	9	3
25	9	17
26	9	16
27	9	14
10	9	139
11	9	22
28	9	17
12	10	10
27	10	6
25	10	4
28	10	4
24	10	6
29	11	13
10	11	36
30	11	3
31	12	1
32	12	1
7	12	6
33	12	3
34	12	1
35	12	11
11	12	34
36	13	3
37	13	3
38	13	2
39	13	4
7	13	93
40	13	14
35	13	1
41	13	1
42	13	7
16	13	10
11	13	196
7	14	47
40	14	2
35	14	2
43	14	4
29	14	25
10	14	25
11	14	35
11	15	9
44	16	35
7	16	35
45	16	3
33	16	15
40	16	18
11	16	17
31	17	6
32	17	1
45	17	2
35	17	14
10	17	8
11	17	2
46	18	10
47	18	6
40	18	4
35	18	2
48	18	4
49	18	4
29	18	11
10	18	8
11	18	42
