character	scene	value
5	1	52.0
3	1	11.0
6	1	8.0
4	1	2.0
2	1	6.0
8	1	1.0
7	1	6.0
1	1	18.0
14	2	3.0
5	2	21.0
3	2	4.0
15	2	11.0
9	2	5.0
17	2	3.0
11	2	5.0
2	2	5.0
10	2	2.0
13	2	20.0
16	2	2.0
12	2	8.0
1	2	18.0
14	3	8.0
5	3	3.0
3	3	1.0
9	3	3.0
10	3	1.0
11	3	2.0
13	3	14.0
18	3	2.0
19	3	20.0
12	3	40.0
1	3	10.0
5	4	73.0
1	4	28.0
5	5	6.0
3	5	2.0
10	5	2.0
21	5	10.0
20	5	3.0
1	5	80.0
9	6	10.0
13	6	15.0
19	6	37.0
12	6	40.0
22	7	2.0
10	7	69.0
21	7	31.0
23	8	21.0
5	8	8.0
24	8	6.0
18	8	11.0
21	8	13.0
25	8	1.0
1	8	44.0
23	9	8.0
5	9	35.0
26	9	6.0
10	9	6.0
18	9	32.0
21	9	15.0
5	10	54.0
19	10	14.0
1	10	34.0
9	11	46.0
5	11	29.0
19	11	9.0
18	11	18.0
24	12	48.0
21	12	6.0
1	12	48.0
23	13	7.0
27	13	63.0
18	13	31.0
9	14	74.0
24	14	27.0
5	15	42.0
21	15	59.0
28	16	25.0
23	16	5.0
5	16	32.0
18	16	17.0
1	16	23.0
