character	scene	value
4	1	42.0
3	1	3.0
6	1	12.0
1	1	37.0
5	1	3.0
2	1	5.0
8	2	35.0
9	2	4.0
7	2	51.0
5	2	4.0
6	2	8.0
4	3	7.0
3	3	1.0
14	3	3.0
15	3	11.0
12	3	1.0
10	3	26.0
1	3	18.0
2	3	3.0
11	3	25.0
13	3	9.0
8	4	29.0
6	4	19.0
7	4	28.0
4	4	26.0
16	5	4.0
15	5	7.0
10	5	40.0
6	5	18.0
11	5	31.0
13	5	4.0
9	6	5.0
18	6	60.0
5	6	7.0
17	6	29.0
6	6	2.0
9	7	2.0
3	7	12.0
6	7	2.0
1	7	20.0
4	7	59.0
2	7	9.0
8	8	13.0
7	8	31.0
17	8	8.0
6	8	10.0
18	8	39.0
5	8	3.0
8	9	2.0
7	9	9.0
17	9	1.0
4	9	20.0
3	9	4.0
10	9	11.0
19	9	1.0
15	9	15.0
18	9	2.0
14	9	4.0
6	9	6.0
1	9	9.0
2	9	2.0
11	9	18.0
13	9	2.0
