character	scene	value
9	1	1.0
11	1	4.0
6	1	15.0
10	1	1.0
7	1	2.0
5	1	10.0
12	1	10.0
4	1	36.0
1	1	13.0
8	1	5.0
2	1	8.0
3	1	1.0
3	2	64.0
13	2	6.0
2	2	31.0
14	3	12.0
5	3	89.0
16	4	29.0
9	4	4.0
15	4	4.0
5	4	20.0
4	4	35.0
1	4	10.0
14	4	2.0
16	5	53.0
17	5	3.0
4	5	42.0
1	5	5.0
10	6	10.0
13	6	1.0
18	6	7.0
3	6	45.0
8	6	17.0
2	6	22.0
10	7	18.0
3	7	1.0
1	7	57.0
14	7	14.0
8	7	4.0
2	7	8.0
13	8	100.0
16	9	12.0
17	9	2.0
10	9	4.0
5	9	5.0
4	9	49.0
1	9	10.0
8	9	18.0
2	9	4.0
17	10	30.0
1	10	71.0
16	11	40.0
4	11	43.0
1	11	17.0
3	12	24.0
2	12	76.0
13	13	37.0
16	13	5.0
4	13	37.0
1	13	10.0
2	13	13.0
3	14	56.0
10	14	44.0
16	15	12.0
4	15	26.0
13	15	39.0
1	15	12.0
2	15	13.0
21	16	5.0
19	16	8.0
10	16	34.0
5	16	2.0
20	16	5.0
14	16	6.0
8	16	17.0
2	16	28.0
22	17	13.0
13	17	38.0
2	17	50.0
14	18	10.0
5	18	37.0
23	18	16.0
3	18	1.0
9	18	39.0
17	19	54.0
1	19	47.0
23	20	7.0
6	20	79.0
24	20	16.0
14	21	27.0
8	21	74.0
14	22	6.0
17	22	6.0
4	22	34.0
13	22	37.0
2	22	21.0
4	23	30.0
17	23	8.0
6	23	38.0
1	23	14.0
24	23	12.0
5	24	10.0
8	24	19.0
3	24	37.0
13	24	17.0
9	24	19.0
13	25	77.0
2	25	24.0
9	26	24.0
17	26	2.0
6	26	2.0
13	26	21.0
26	26	3.0
5	26	5.0
3	26	21.0
1	26	7.0
8	26	5.0
25	26	2.0
4	26	14.0
