character	scene	value
3	1	14.0
4	1	2.0
2	1	13.0
1	1	74.0
5	2	29.0
10	2	31.0
9	2	10.0
11	2	2.0
8	2	12.0
6	2	12.0
7	2	6.0
12	3	11.0
1	3	90.0
5	4	64.0
13	4	28.0
14	4	10.0
3	5	13.0
16	5	4.0
18	5	2.0
17	5	1.0
2	5	36.0
9	5	27.0
11	5	1.0
15	5	20.0
19	6	2.0
3	6	39.0
11	6	10.0
13	6	43.0
5	6	9.0
11	7	26.0
20	7	22.0
1	7	54.0
3	8	61.0
19	8	1.0
13	8	40.0
11	9	2.0
13	9	33.0
10	9	19.0
1	9	47.0
5	10	34.0
2	10	12.0
1	10	40.0
9	10	6.0
11	10	2.0
8	10	3.0
15	10	6.0
21	11	8.0
13	11	31.0
22	11	16.0
1	11	47.0
10	12	2.0
1	12	40.0
9	12	11.0
11	12	41.0
24	12	3.0
23	12	5.0
5	13	11.0
13	13	6.0
25	13	8.0
1	13	45.0
9	13	17.0
11	13	10.0
23	13	6.0
3	14	80.0
2	14	21.0
26	15	8.0
1	15	93.0
26	16	36.0
13	16	53.0
22	16	12.0
3	17	8.0
26	17	6.0
13	17	16.0
22	17	10.0
5	17	10.0
2	17	8.0
1	17	45.0
11	17	3.0
