character	scene	value
1	1	26.0
4	1	22.0
5	1	1.0
3	1	12.0
7	1	17.0
6	1	22.0
2	1	2.0
14	2	1.0
9	2	51.0
10	2	3.0
12	2	1.0
13	2	2.0
11	2	1.0
8	2	42.0
5	3	9.0
15	3	14.0
18	3	27.0
7	3	13.0
16	3	11.0
17	3	29.0
5	4	2.0
4	4	17.0
15	4	12.0
18	4	16.0
7	4	21.0
6	4	29.0
16	4	2.0
17	4	6.0
14	5	1.0
10	5	5.0
9	5	46.0
21	5	2.0
19	5	2.0
15	5	6.0
22	5	2.0
18	5	18.0
12	5	4.0
20	5	2.0
11	5	2.0
8	5	18.0
5	6	13.0
4	6	17.0
15	6	22.0
7	6	24.0
6	6	13.0
23	6	1.0
17	6	14.0
1	7	19.0
5	7	11.0
9	7	21.0
19	7	1.0
4	7	2.0
15	7	2.0
22	7	1.0
18	7	11.0
3	7	5.0
7	7	2.0
6	7	5.0
20	7	1.0
2	7	4.0
17	7	21.0
13	8	10.0
8	8	18.0
10	8	30.0
11	8	5.0
9	8	40.0
27	9	14.0
1	9	30.0
15	9	9.0
9	9	1.0
26	9	3.0
30	9	2.0
5	9	5.0
29	9	3.0
18	9	1.0
28	9	8.0
6	9	3.0
2	9	6.0
25	9	9.0
24	9	6.0
17	9	7.0
