character	scene	value
2	1	22.0
6	1	19.0
5	1	4.0
4	1	27.0
1	1	25.0
3	1	6.0
9	2	4.0
7	2	68.0
8	2	29.0
4	3	8.0
10	3	72.0
1	3	22.0
11	4	66.0
7	4	35.0
12	5	54.0
13	5	19.0
4	5	19.0
14	5	1.0
6	5	9.0
12	6	24.0
15	6	77.0
12	7	12.0
2	7	5.0
5	7	67.0
3	7	10.0
6	7	8.0
12	8	25.0
10	8	69.0
15	8	8.0
1	9	9.0
2	9	8.0
5	9	30.0
15	9	26.0
6	9	29.0
7	10	12.0
11	10	89.0
2	11	62.0
3	11	39.0
9	12	11.0
7	12	20.0
8	12	6.0
16	12	64.0
9	13	2.0
2	13	16.0
10	13	57.0
3	13	17.0
17	13	11.0
7	14	38.0
18	14	1.0
15	14	3.0
6	14	9.0
5	14	2.0
4	14	43.0
8	14	2.0
19	14	6.0
2	15	11.0
10	15	42.0
1	15	49.0
7	16	82.0
5	16	14.0
15	16	2.0
8	16	3.0
20	16	2.0
12	17	34.0
5	17	37.0
15	17	31.0
21	18	13.0
7	18	30.0
22	18	4.0
1	18	14.0
4	18	11.0
10	18	22.0
6	18	7.0
8	18	2.0
19	18	1.0
7	19	60.0
8	19	19.0
6	19	23.0
7	20	34.0
15	20	5.0
1	20	4.0
5	20	24.0
12	20	3.0
4	20	13.0
6	20	11.0
8	20	8.0
23	20	3.0
