character	scene	value
4	1	16.0
3	1	24.0
1	1	31.0
2	1	31.0
6	2	8.0
8	2	3.0
7	2	47.0
9	2	24.0
5	2	20.0
4	3	4.0
2	3	4.0
12	3	8.0
10	3	30.0
3	3	5.0
11	3	25.0
1	3	18.0
9	3	10.0
6	4	16.0
10	4	25.0
11	4	4.0
5	4	57.0
13	5	90.0
14	5	7.0
10	5	5.0
13	6	30.0
11	6	22.0
5	6	49.0
13	7	47.0
10	7	54.0
15	8	3.0
11	8	35.0
10	8	63.0
13	9	57.0
10	9	44.0
4	10	2.0
8	10	11.0
17	10	22.0
6	10	8.0
10	10	19.0
18	10	6.0
11	10	7.0
13	10	4.0
16	10	26.0
19	11	22.0
17	11	28.0
9	11	51.0
22	12	4.0
10	12	74.0
21	12	6.0
11	12	14.0
13	12	2.0
20	12	1.0
23	12	2.0
24	13	4.0
13	13	30.0
10	13	68.0
11	14	13.0
22	14	29.0
25	14	25.0
21	14	35.0
26	15	2.0
8	15	3.0
10	15	65.0
21	15	5.0
13	15	24.0
9	15	3.0
27	16	95.0
1	16	6.0
28	17	39.0
8	17	62.0
4	18	8.0
8	18	4.0
27	18	3.0
10	18	46.0
3	18	10.0
2	18	10.0
31	18	3.0
1	18	16.0
29	18	2.0
30	18	3.0
33	19	22.0
9	19	22.0
14	19	10.0
21	19	5.0
32	19	44.0
6	20	51.0
17	20	33.0
9	20	15.0
34	20	2.0
13	21	28.0
35	21	32.0
34	21	42.0
12	22	25.0
8	22	19.0
36	22	28.0
37	22	30.0
24	23	5.0
38	23	5.0
10	23	79.0
34	23	13.0
39	24	38.0
40	24	4.0
6	24	41.0
17	24	12.0
36	24	8.0
38	25	4.0
14	25	16.0
10	25	81.0
39	26	28.0
6	26	55.0
17	26	19.0
39	27	18.0
6	27	6.0
17	27	29.0
10	27	29.0
41	27	20.0
4	28	2.0
17	28	23.0
39	28	13.0
6	28	24.0
10	28	31.0
9	28	11.0
