character	scene	value
1	1	83
2	1	38
3	1	61
2	2	1
1	2	28
4	2	16
3	2	32
5	2	35
6	2	2
7	3	60
8	3	3
2	3	12
1	3	40
9	3	3
10	3	9
6	3	3
5	3	109
11	3	24
12	3	5
13	3	30
3	3	57
2	4	6
14	4	17
15	4	2
1	4	76
5	4	31
4	4	65
10	4	2
16	4	3
17	4	12
11	4	18
18	4	20
19	5	4
20	6	1
2	6	2
1	6	157
4	6	53
5	6	61
11	6	1
18	6	41
1	7	5
16	7	12
21	7	5
4	7	21
22	7	11
1	8	1
20	8	2
5	8	6
1	9	183
16	9	19
5	9	198
11	9	76
4	9	12
23	10	16
22	10	7
1	10	7
5	10	43
4	10	36
16	10	24
11	10	72
24	11	24
23	11	3
1	11	130
4	11	18
5	11	77
11	11	15
1	12	36
16	12	40
11	12	60
5	12	62
2	12	15
24	13	1
11	13	43
5	13	4
16	13	47
2	14	27
24	14	11
23	14	6
25	14	7
1	14	58
5	14	1
16	14	4
4	14	35
24	15	23
8	15	3
25	15	20
1	15	12
4	15	35
5	15	191
16	15	69
11	15	40
18	15	7
