character	scene	value
1	1	2
2	1	56
3	1	2
4	1	108
5	1	3
6	2	1
7	2	2
4	2	92
8	2	31
8	3	24
5	3	6
9	4	69
10	4	6
4	4	27
11	4	9
12	5	18
13	5	14
4	5	66
14	5	15
6	6	6
15	6	22
16	6	2
17	6	31
7	6	2
18	7	3
15	7	8
4	7	15
17	7	98
19	7	3
6	8	16
20	8	1
8	8	30
16	8	1
7	8	7
21	8	3
22	9	1
23	9	2
17	9	59
19	9	1
4	9	24
15	9	3
24	9	1
25	10	5
4	10	47
26	10	22
27	10	4
28	11	1
29	11	89
30	11	17
31	11	5
32	11	1
33	11	16
15	11	2
9	12	14
4	12	27
11	12	5
29	13	9
15	13	7
34	14	27
35	14	1
11	14	37
36	14	1
37	14	3
38	14	40
39	15	10
38	15	15
40	15	24
41	15	28
42	15	1
9	16	21
11	16	35
43	17	53
33	18	2
30	18	5
39	19	2
44	19	38
38	19	53
40	19	25
41	19	21
8	20	48
45	20	8
46	20	10
47	20	1
38	20	66
48	20	5
44	20	50
10	20	1
4	20	110
43	21	21
8	22	1
29	22	17
15	22	22
4	22	53
49	22	1
43	22	18
