character	scene	value
4	1	7.0
3	1	5.0
2	1	14.0
1	1	76.0
7	2	1.0
6	2	1.0
5	2	43.0
1	2	57.0
14	3	1.0
15	3	1.0
9	3	2.0
8	3	5.0
11	3	4.0
16	3	2.0
13	3	35.0
12	3	3.0
10	3	15.0
4	3	2.0
1	3	35.0
19	4	2.0
2	4	52.0
18	4	1.0
17	4	21.0
16	4	18.0
3	4	10.0
20	5	46.0
1	5	29.0
8	5	3.0
11	5	10.0
10	5	5.0
14	5	7.0
4	5	3.0
21	6	12.0
8	6	8.0
11	6	16.0
22	6	29.0
10	6	14.0
4	6	1.0
23	6	4.0
14	6	5.0
24	6	2.0
1	6	13.0
26	7	27.0
25	7	17.0
27	7	58.0
10	8	19.0
30	8	12.0
22	8	33.0
28	8	16.0
29	8	22.0
32	9	1.0
15	9	3.0
11	9	29.0
33	9	5.0
29	9	12.0
31	9	22.0
1	9	29.0
4	9	3.0
35	10	3.0
15	10	13.0
36	10	3.0
11	10	6.0
37	10	1.0
30	10	12.0
34	10	8.0
4	10	56.0
9	11	16.0
39	11	4.0
38	11	12.0
8	11	68.0
41	12	1.0
40	12	7.0
11	12	11.0
12	12	8.0
4	12	45.0
38	12	2.0
1	12	29.0
11	13	25.0
32	13	11.0
41	13	2.0
1	13	64.0
42	14	100.0
32	15	2.0
15	15	6.0
44	15	1.0
11	15	63.0
43	15	1.0
1	15	30.0
35	16	11.0
22	16	17.0
3	16	6.0
10	16	31.0
14	16	1.0
5	16	37.0
15	17	3.0
11	17	22.0
45	17	64.0
47	17	6.0
34	17	3.0
46	17	5.0
15	18	7.0
45	18	44.0
47	18	50.0
50	19	2.0
48	19	1.0
15	19	2.0
49	19	2.0
30	19	1.0
45	19	36.0
22	19	10.0
13	19	17.0
10	19	27.0
34	19	4.0
38	19	2.0
51	20	43.0
12	20	58.0
11	21	94.0
52	21	7.0
53	22	80.0
54	22	9.0
56	22	9.0
55	22	5.0
57	23	1.0
64	23	1.0
62	23	1.0
59	23	2.0
58	23	3.0
70	23	1.0
15	23	2.0
66	23	2.0
60	23	3.0
68	23	3.0
61	23	3.0
65	23	1.0
53	23	23.0
45	23	42.0
63	23	1.0
67	23	3.0
12	23	6.0
69	23	3.0
30	23	1.0
56	23	2.0
38	23	5.0
15	24	54.0
45	24	47.0
53	25	79.0
12	25	22.0
